"","Season","1-4","5-14","45-64","65+"
"1","2023 to 2024",0.199509949453904,0.306390301216491,0.0996281072699694,0.249255619831299
"2","2024 to 2025",0.146117402603508,0.191700781626022,0.103563658950056,0.139845256806944
"3","2025 to 2026",0.491501107483043,0.580040690054192,0.106714609320703,0.189690873380737
