"","Source","Year","Week","Season","date","cases_H3","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"1","FluNet",1996,1,"1996/97",1997-01-05,0,NA,NA,1,-2.30258509299405,-1.95633564579349,0.388673535102552,-2.71813577459449,-1.19453551699248,NA,NA,NA
"2","FluNet",1997,2,"1996/97",1997-01-12,0,0,NA,2,-2.30258509299405,-2.0133206308863,0.354955690542187,-2.70903378434898,-1.31760747742361,-0.0569849850928099,0.00910199024550629,-0.123071960431126
"3","FluNet",1997,3,"1996/97",1997-01-19,0,0,NA,3,-2.30258509299405,-2.06990511489901,0.32496387193729,-2.7068343038961,-1.43297592590192,-0.0565844840127148,0.00219948045288199,-0.115368448478312
"4","FluNet",1997,4,"1996/97",1997-01-26,0,0,0,4,-2.30258509299405,-2.12547600828529,0.299640672634844,-2.71277172664959,-1.538180289921,-0.0555708933862826,-0.00593742275348808,-0.105204364019077
"5","FluNet",1997,5,"1996/97",1997-02-02,0,0,0,5,-2.30258509299405,-2.17923084264755,0.27968591890306,-2.72741524369755,-1.63104644159755,-0.0537548343622589,-0.0146435170479617,-0.0928661516765563
"6","FluNet",1997,6,"1996/97",1997-02-09,0,0,0,6,-2.30258509299405,-2.23025775089203,0.26526241151925,-2.75017207746976,-1.7103434243143,-0.051026908244483,-0.0227568337722155,-0.0792969827167502
"7","FluNet",1997,7,"1996/97",1997-02-16,0,0,0,7,-2.30258509299405,-2.27761132093667,0.255830191830078,-2.77903849692363,-1.77618414494972,-0.0473535700446384,-0.0288664194538621,-0.0658407206354146
"8","FluNet",1997,8,"1996/97",1997-02-23,0,0,0,8,-2.30258509299405,-2.32038236517491,0.250232588078635,-2.81083823780904,-1.82992649254079,-0.0427710442382385,-0.0317997408854098,-0.0537423475910672
"9","FluNet",1997,9,"1996/97",1997-03-02,0,0,0,9,-2.30258509299405,-2.35775967212398,0.247014017224761,-2.84190714588451,-1.87361219836345,-0.0373773069490704,-0.031068908075476,-0.0436857058226647
"10","FluNet",1997,10,"1996/97",1997-03-09,0,0,0,10,-2.30258509299405,-2.38908192135629,0.244806790561821,-2.86890323085745,-1.90926061185512,-0.0313222492323035,-0.0269960849729411,-0.0356484134916661
