y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,Year,Week,date,season,days_from_start,day_of_year,plot_label
0.5575829980982556,0.4600074103003422,0.6501813384673368,0.2667981900266625,0.8467380117844815,1,24,inferred_H3,2011,50,2011-12-12,2011/12,154,346,Pre-pandemic
0.4521117646398667,0.3641749760469789,0.5390752402565799,0.19012411350323816,0.7210560919598904,0.9996666666666667,76,inferred_H3,2012,50,2012-12-10,2012/13,161,345,Pre-pandemic
0.3717848747480802,0.26924436152753084,0.47357499829656935,0.05596392379505056,0.6815800646835375,0.9886666666666667,128,inferred_H3,2013,50,2013-12-09,2013/14,161,343,Pre-pandemic
0.8418344332991978,0.7816208127824771,0.9025562866056036,0.6622239023960835,1.0221010464685578,1,180,inferred_H3,2014,50,2014-12-08,2014/15,154,342,Pre-pandemic
0.2957065199047251,0.1856139309491255,0.40476462654069517,-0.026516526057825767,0.6073682040089975,0.9646666666666667,235,inferred_H3,2016,1,2016-01-04,2015/16,182,369,Pre-pandemic
0.5773238455196195,0.5085457840169245,0.644630720671568,0.3832838739005673,0.7734629928538037,1,283,inferred_H3,2016,49,2016-12-05,2016/17,154,340,Pre-pandemic
0.6214675576638684,0.5610988715569274,0.6852281038217001,0.4382375503757889,0.808573539011493,1,337,inferred_H3,2017,51,2017-12-18,2017/18,168,352,Pre-pandemic
0.5549289820112744,0.47834089014786496,0.6335237469516104,0.3378889477745294,0.7864027768497258,1,389,inferred_H3,2018,51,2018-12-17,2018/19,168,351,Pre-pandemic
0.76686878698409,0.7065318700566732,0.8218827974240803,0.603305832263285,0.9382432189488433,1,437,inferred_H3,2019,47,2019-11-18,2019/20,140,322,During pandemic
0.4448671302252629,0.26427723442002937,0.6420165410555632,-0.08023492714317937,1.0195448392207793,0.952,479,inferred_H3,2020,37,2020-09-07,2020/21,63,251,During pandemic
0.7672308541518883,0.6372960309143174,0.895119548541461,0.4075639304487586,1.1555722033975202,1,533,inferred_H3,2021,38,2021-09-20,2021/22,77,263,During pandemic
0.6419649205510076,0.608674863114659,0.6734208536770119,0.5480262214348718,0.7383210379439517,1,597,inferred_H3,2022,50,2022-12-12,2022/23,161,346,Post-pandemic
0.6507105457064921,0.5940707390186468,0.7079831539138381,0.48701464922155285,0.8125093756720807,1,648,inferred_H3,2023,49,2023-12-04,2023/24,154,338,Post-pandemic
0.3093133751644168,0.24231329659355172,0.37415349750479177,0.11558877552165343,0.49451069454838664,0.999,698,inferred_H3,2024,47,2024-11-18,2024/25,140,323,Post-pandemic
0.7202869413544168,0.6498381093073988,0.7916168134210352,0.513608851582886,0.9306357060265753,1,743,inferred_H3,2025,40,2025-09-29,2025/26,84,272,Current season
