y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,Year,Week,date,season,days_from_start,day_of_year,plot_label,peak_time,day_shifted,Influenza A not subtyped,Influenza A H1N1pdm09,Influenza A H3N2,Influenza B,Percentage testing positive for overall influenza,total_cases,H1_prop,H3_prop,H1_adj,H3_adj,Season,total,gr,gr_smooth
-0.05338805771749977,-0.16732091142051037,0.06498252665580903,-0.38164741159038573,0.26522155387292523,0.367,14,total,2011,40,2011-10-03,2011/12,84,276,Pre-pandemic,339,-63,0,1,0,1,0.4,2,1,0,1,0,2011/12,2,0.6466271649250523,0.7611306094308556
-0.02692129145774206,-0.13619090512914034,0.0853331648523126,-0.34988643287593324,0.30712292669186086,0.43533333333333335,15,total,2011,41,2011-10-10,2011/12,91,283,Pre-pandemic,339,-56,0,0,0,0,0,0,0,0,0,0,2011/12,0,-3.044522437723423,-0.928393016676077
0.02850308168600283,-0.07682402493856164,0.13662550633617904,-0.3043177414301457,0.3404772351917011,0.571,16,total,2011,42,2011-10-17,2011/12,98,290,Pre-pandemic,339,-49,1,1,1,0,0.5,3,0.5,0.5,1,1,2011/12,3,3.4339872044851463,-0.12445960705979497
0.07921197452767789,-0.028016147785953766,0.18214683765796516,-0.24244853201477531,0.38937174579236855,0.6973333333333334,17,total,2011,43,2011-10-24,2011/12,105,297,Pre-pandemic,339,-42,0,1,2,0,0.5,3,0.3333333333333333,0.6666666666666666,1,2,2011/12,3,0,0.25902298292169396
0.13757605494775127,0.02875976282155468,0.24272758597469543,-0.17639278960518412,0.44386668821416686,0.8033333333333333,18,total,2011,44,2011-10-31,2011/12,112,304,Pre-pandemic,339,-35,0,0,0,0,0,0,0,0,0,0,2011/12,0,-3.4339872044851463,-0.7611306094308559
0.21558016879437542,0.11085256446336345,0.3195247621802544,-0.08891839494885147,0.5107213609561815,0.922,19,total,2011,45,2011-11-07,2011/12,119,311,Pre-pandemic,339,-28,0,0,3,2,0.7,5,0,1,0,3,2011/12,5,3.9318256327243257,0.9829564081810813
0.26357349067122215,0.16421619738027315,0.3692295753804392,-0.03378915222504541,0.5498476129853141,0.9606666666666667,20,total,2011,46,2011-11-14,2011/12,126,318,Pre-pandemic,339,-21,0,0,3,2,0.6,5,0,1,0,3,2011/12,5,0,0.12445960705979495
0.3193096198977363,0.22380483775837362,0.4164047672412682,0.036553001208758186,0.6026013631861016,0.9843333333333333,21,total,2011,47,2011-11-21,2011/12,133,325,Pre-pandemic,339,-14,1,0,3,0,0.5,4,0,1,0,4,2011/12,4,-0.21825356602001794,0.06989621555479036
0.3993515238290961,0.3028993833483186,0.49543283887237827,0.126332356954015,0.6816784216021027,0.998,22,total,2011,48,2011-11-28,2011/12,140,332,Pre-pandemic,339,-7,0,0,2,1,0.3,3,0,1,0,2,2011/12,3,-0.2795848622191614,0.8584968011212866
0.4776281565807112,0.39011172683603856,0.5695498405726543,0.2140136366817815,0.7437078386843187,1,23,total,2011,49,2011-12-05,2011/12,147,339,Pre-pandemic,339,0,6,0,6,1,1.4,13,0,1,0,12,2011/12,13,1.4412101187160054,0.2358429226192065
