"","Source","Year","Week","Season","date","cases_total","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"28","FluNet",2012,28,"2012/13",2012-07-15,3,-0.251314428280906,0.112157412207071,195,1.1314021114911,0.783804124308602,0.197027950995311,0.397629340357793,1.16997890825941,-0.0679778554579631,-0.0770461950948036,-0.0589095158211226
"29","FluNet",2012,29,"2012/13",2012-07-22,1,-0.847297860387204,0,197,0.0953101798043249,0.665872021466048,0.201307908699989,0.27130852041407,1.06043552251803,-0.058966051421277,-0.0631604099718617,-0.0547716928706924
"30","FluNet",2012,30,"2012/13",2012-07-29,2,0.510825623765991,-0.195928888300706,199,0.741937344729377,0.565335321284252,0.198231700476303,0.176801188350699,0.953869454217805,-0.0502683500908981,-0.0472536660316854,-0.0532830341501107
"31","FluNet",2012,31,"2012/13",2012-08-05,2,0,-0.112157412207071,201,0.741937344729377,0.483392414669856,0.189572776320997,0.111829773080701,0.854955056259011,-0.040971453307198,-0.0324857076349988,-0.0494571989793972
"32","FluNet",2012,32,"2012/13",2012-08-12,4,0.587786664902119,0.366204096222703,203,1.41098697371026,0.421776175986961,0.179048327119044,0.0708414548336349,0.772710897140288,-0.0308081193414474,-0.0204941591235332,-0.0411220795593615
"33","FluNet",2012,33,"2012/13",2012-08-19,1,-1.09861228866811,-0.170275207921997,205,0.0953101798043249,0.382219546384896,0.170826236127552,0.0474001235748945,0.717038969194898,-0.0197783148010324,-0.0117206656293702,-0.0278359639726947
"34","FluNet",2012,34,"2012/13",2012-08-26,4,1.09861228866811,0.195928888300706,207,1.41098697371026,0.366455467012989,0.168326678226653,0.036535177688748,0.69637575633723,-0.00788203968595386,-0.00543247294307322,-0.0103316064288345
"35","FluNet",2012,35,"2012/13",2012-09-02,0,-2.19722457733622,-0.732408192445407,209,-2.30258509299405,0.376216879020568,0.172637144881432,0.0378480750529617,0.714585682988174,0.00488070600378962,0.000656448682106847,0.00910496332547239
"36","FluNet",2012,36,"2012/13",2012-09-09,2,1.6094379124341,0.170275207921997,211,0.741937344729377,0.413236723556959,0.181873746956261,0.0567641795226873,0.769709267591232,0.0185099222681957,0.00945805223486276,0.0275617923015287
"37","FluNet",2012,37,"2012/13",2012-09-16,1,-0.510825623765991,-0.366204096222703,213,0.0953101798043249,0.479247941771494,0.192239027739782,0.102459447401521,0.856036436141468,0.0330056091072675,0.0228476339394169,0.0431635842751181
"38","FluNet",2012,38,"2012/13",2012-09-23,3,0.847297860387204,0.648636716351771,215,1.1314021114911,0.575983474813498,0.199587041254649,0.184792873954385,0.96717407567261,0.0483677665210017,0.041166713276432,0.0555688197655713
"39","FluNet",2012,39,"2012/13",2012-09-30,5,0.451985123743057,0.262819120121423,217,1.62924053973028,0.705119343478253,0.200481597074762,0.31217541321172,1.09806327374479,0.0645679343323775,0.0636912696286674,0.0654445990360875
"40","FluNet",2012,40,"2012/13",2012-10-07,1,-1.29928298413026,0,219,0.0953101798043249,0.8659800321628,0.194401751546838,0.484952599130998,1.2470074651946,0.0804303443422739,0.0863885929596391,0.0744720957249086
"41","FluNet",2012,41,"2012/13",2012-10-14,4,1.09861228866811,0.0837714760936353,221,1.41098697371026,1.05475250717905,0.184378975527673,0.69336971514481,1.41613529921329,0.0943862375081246,0.104208558006906,0.0845639170093433
"42","FluNet",2012,42,"2012/13",2012-10-21,1,-1.09861228866811,-0.43309432804342,223,0.0953101798043249,1.2674055091412,0.174439593914397,0.925503905068977,1.60930711321341,0.106326500981073,0.116067094962084,0.0965859070000623
"43","FluNet",2012,43,"2012/13",2012-10-28,7,1.6094379124341,0.5364793041447,225,1.96009478404727,1.49990777866344,0.1685799815526,1.16949101482034,1.83032454250653,0.11625113476112,0.12199355487568,0.110508714646559
"44","FluNet",2012,44,"2012/13",2012-11-04,10,0.336472236621213,0.282432620129068,227,2.31253542384721,1.74822805635996,0.169305078222756,1.41639010304336,2.08006600967656,0.124160138848263,0.12344954411151,0.124870733585015
"45","FluNet",2012,45,"2012/13",2012-11-11,13,0.251314428280906,0.732408192445406,229,2.57261223020711,2.00833508284497,0.1762933886191,1.66280004115154,2.35387012453841,0.130053513242506,0.123204969054089,0.136902057430922
"46","FluNet",2012,46,"2012/13",2012-11-18,16,0.200670695462151,0.262819120121423,231,2.77881927199042,2.27619759873266,0.186587175231595,1.91048673527873,2.64190846218658,0.133931257943844,0.123843347063599,0.144019168824089
"47","FluNet",2012,47,"2012/13",2012-11-25,12,-0.277631736598279,0.058117795714926,233,2.4932054526027,2.54778434463722,0.196079736749466,2.16346806060827,2.93210062866617,0.135793372952281,0.126490662664767,0.145096083239795
"48","FluNet",2012,48,"2012/13",2012-12-02,7,-0.510825623765991,-0.195928888300706,235,1.96009478404727,2.81906406117285,0.200862225050211,2.42537410007444,3.21275402227127,0.135639858267816,0.130953019733085,0.140326696802547
"49","FluNet",2012,49,"2012/13",2012-12-09,20,1.0055218656021,0.072354835079276,237,3.00071981506503,3.08623261881922,0.198385994552003,2.69739606949729,3.47506916814114,0.133584278823181,0.136010984711425,0.131157572934937
"50","FluNet",2012,50,"2012/13",2012-12-16,18,-0.102654154060084,0.130680695925341,239,2.89591193827178,3.34700072746492,0.190076799809005,2.97445019983927,3.71955125509057,0.130384054322851,0.13852706517099,0.122241043474713
"51","FluNet",2012,51,"2012/13",2012-12-23,55,1.09861228866811,0.667160000070041,241,4.00914971615887,3.5996988689251,0.179579364593133,3.24772331432256,3.95167442352764,0.12634907073009,0.136636557241645,0.116061584218536
"52","FluNet",2012,52,"2012/13",2012-12-30,41,-0.290689593515736,0.23508951369743,243,3.71600812150219,3.84265938265655,0.17104941991851,3.50740251961628,4.17791624569683,0.121480256865728,0.129839602646859,0.113120911084597
"53","FluNet",2012,1,"2012/13",2013-01-06,61,0.39334374757582,0.400422147576065,245,4.11251186617755,4.07421460811607,0.168017092224935,3.7449011073552,4.40352810887694,0.115777612729758,0.118749293869461,0.112805931590055
"54","FluNet",2013,2,"2012/13",2013-01-13,105,0.539673778103649,0.214109310721244,247,4.65491227788291,4.29269688476045,0.171808055160125,3.9559530966466,4.62944067287429,0.10924113832219,0.105525994645704,0.112956281998676
"55","FluNet",2013,3,"2012/13",2013-01-20,67,-0.446583355037637,0.162144723547277,249,4.20618404397764,4.49643855204647,0.180776801411436,4.14211602128006,4.85076108281289,0.101870833643013,0.093081462316728,0.110660204969297
"56","FluNet",2013,4,"2012/13",2013-01-27,75,0.112005058376495,0.0683651604808354,251,4.31882055877009,4.68377194943095,0.191244237048309,4.30893324481626,5.05861065404564,0.0936666986922376,0.0834086117681019,0.103924785616373
"57","FluNet",2013,5,"2012/13",2013-02-03,128,0.531796248080296,0.0657393171397178,253,4.85281120890269,4.85302941637065,0.199068866028082,4.46285443895561,5.2432043937857,0.0846287334698523,0.0769605970696747,0.0922968698700299
"58","FluNet",2013,6,"2012/13",2013-02-10,207,0.479202435335479,0.374334580597423,255,5.33320176840154,5.00253128228348,0.20072228292723,4.60911560774611,5.39594695682085,0.074750932956412,0.0731305843952468,0.0763712815175772
"59","FluNet",2013,7,"2012/13",2013-02-17,170,-0.196396042947182,0.271534213489531,257,5.13638649940182,5.12944659740018,0.195232954803082,4.74679000598614,5.51210318881423,0.0634576575583528,0.0688371991200176,0.0580781159966879
"60","FluNet",2013,8,"2012/13",2013-02-24,218,0.248050717812073,0.17695237006679,259,5.38495367320758,5.22885484412073,0.185432724852312,4.8654067034102,5.59230298483126,0.0497041233602729,0.0593083487120274,0.0400998980085183
"61","FluNet",2013,9,"2012/13",2013-03-03,162,-0.296108012765853,-0.0814844459669871,261,5.08821342874163,5.29561466939751,0.175315949300931,4.95199540876769,5.63923393002734,0.0333799126383916,0.0432943526787448,0.0234654725980383
"62","FluNet",2013,10,"2012/13",2013-03-10,261,0.475756281735186,0.142566328927135,263,5.56490347570508,5.32458472018292,0.168953486479909,4.9934358866823,5.65573355368354,0.014485025392704,0.0207202389573058,0.00824981182810225
"63","FluNet",2013,11,"2012/13",2013-03-17,216,-0.188843736062434,-0.00306515569770008,265,5.37574126351284,5.31062364342933,0.16907153735234,4.97924343021874,5.64200385663991,-0.00698053837679691,-0.00709622823177858,-0.00686484852181524
"64","FluNet",2013,12,"2012/13",2013-03-24,154,-0.337396451104744,-0.0168279684773305,267,5.03760174232607,5.24859008608913,0.175632202146724,4.90435096988155,5.59282920229671,-0.0310167786700983,-0.0374462301685958,-0.0245873271716008
"65","FluNet",2013,13,"2012/13",2013-03-31,172,0.110203140133614,-0.138679015677854,269,5.14807570321749,5.13334269511472,0.185857618003132,4.76906176382858,5.49762362640086,-0.057623695487206,-0.0676446030264852,-0.0476027879479268
"66","FluNet",2013,14,"2012/13",2013-04-07,98,-0.560340688293372,-0.262511333088167,271,4.58598736657132,4.95974011745847,0.19566836110227,4.57623012969802,5.34325010521892,-0.0868012888281244,-0.0964158170652798,-0.0771867605909691
"67","FluNet",2013,15,"2012/13",2013-04-14,135,0.318915092141713,-0.0437408186726816,273,4.90601524496615,4.72264100007277,0.201089601015136,4.3285053820831,5.11677661806244,-0.118549558692849,-0.123862373807458,-0.11323674357824
"68","FluNet",2013,16,"2012/13",2013-04-21,149,0.0983247525109858,-0.0477002812135578,275,5.00461722177069,4.41812578007019,0.199319017260701,4.02746050623922,4.80879105390117,-0.152257610001289,-0.150522437921942,-0.153992782080635
"69","FluNet",2013,17,"2012/13",2013-04-28,55,-0.990913372078353,-0.191224509141885,277,4.00914971615887,4.05415668393671,0.191375926030544,3.67905986891685,4.42925349895658,-0.18198454806674,-0.174200318661186,-0.189768777472294
"70","FluNet",2013,18,"2012/13",2013-05-05,31,-0.566395474920801,-0.486328031496056,279,3.43720781918519,3.64538626418158,0.180872937235239,3.29087530720051,3.99989722116265,-0.204385209877566,-0.194092280858168,-0.214678138896964
"71","FluNet",2013,19,"2012/13",2013-05-12,23,-0.292987124681474,-0.616765323893543,281,3.13983261752775,3.20654194478005,0.172023454062901,2.86937597481676,3.54370791474333,-0.219422159700766,-0.210749666191874,-0.228094653209659
"72","FluNet",2013,20,"2012/13",2013-05-19,9,-0.905708622543618,-0.588363740715298,283,2.2082744135228,2.75235114970736,0.168519422294242,2.42205308201064,3.08264921740407,-0.227095397536347,-0.223661446403061,-0.230529348669632
"73","FluNet",2013,21,"2012/13",2013-05-26,13,0.351397886837888,-0.282432620129068,285,2.57261223020711,2.29754130293876,0.171921462066189,1.96057523728902,2.63450736858849,-0.2274049233843,-0.230738922360809,-0.224070924407792
"74","FluNet",2013,22,"2012/13",2013-06-02,14,0.071458963982145,-0.160950590574528,287,2.64617479738412,1.85683982844948,0.180762486047535,1.50254535579632,2.21113430110265,-0.220350737244636,-0.229014940746355,-0.211686533742918
"75","FluNet",2013,23,"2012/13",2013-06-09,4,-1.17007125265025,-0.24907146727674,289,1.41098697371026,1.44497415021479,0.19140133000736,1.06982754340037,1.82012075702922,-0.205932839117346,-0.216358906197975,-0.195506772036717
"76","FluNet",2013,24,"2012/13",2013-06-16,2,-0.587786664902119,-0.56213298452341,291,0.741937344729377,1.07667169220992,0.199635926362681,0.685385276539064,1.46795810788077,-0.184151229002436,-0.19222113343065,-0.176081324574222
"77","FluNet",2013,25,"2012/13",2013-06-23,2,0,-0.585952639184125,293,0.741937344729377,0.766645706120747,0.2018342916763,0.371050494435199,1.16224091780629,-0.155012993044586,-0.157167391051933,-0.152858595037239
"78","FluNet",2013,26,"2012/13",2013-06-30,1,-0.510825623765991,-0.366204096222703,295,0.0953101798043249,0.524238426358416,0.196661253598496,0.138782369305363,0.909694483411469,-0.121203639881165,-0.116134062564918,-0.126273217197413
"79","FluNet",2013,27,"2013/14",2013-07-07,8,1.73460105538811,0.407925143874039,297,2.09186406167839,0.345361774015618,0.186914380779931,-0.0209904123130455,0.711713960344282,-0.0894383261713989,-0.0798863908092045,-0.0989902615335932
"80","FluNet",2013,28,"2013/14",2013-07-14,0,-2.83321334405622,-0.5364793041447,299,-2.30258509299405,0.223862751101012,0.17684408572679,-0.122751656923496,0.57047715912552,-0.0607495114573032,-0.0508806223052252,-0.0706184006093813
"81","FluNet",2013,29,"2013/14",2013-07-21,2,1.6094379124341,0.170275207921997,301,0.741937344729377,0.153588359623245,0.170875297541853,-0.181327223558787,0.488503942805276,-0.0351371957388836,-0.0292877833176454,-0.0409866081601218
"82","FluNet",2013,30,"2013/14",2013-07-28,3,0.336472236621213,-0.295767731666967,303,1.1314021114911,0.128385601590979,0.172034616143628,-0.208802246050532,0.465573449232489,-0.012601379016133,-0.0137375112458725,-0.0114652467863934
"83","FluNet",2013,31,"2013/14",2013-08-04,2,-0.336472236621213,0.5364793041447,305,0.741937344729377,0.142101479012858,0.180337792800248,-0.211360594875627,0.495563552901343,0.00685793871093965,-0.00127917441254771,0.014995051834427
"84","FluNet",2013,32,"2013/14",2013-08-11,0,-1.6094379124341,-0.5364793041447,307,-2.30258509299405,0.188582993897546,0.19282367201097,-0.189351403243956,0.566517391039048,0.0232407574423441,0.0110045958158358,0.0354769190688525
"85","FluNet",2013,33,"2013/14",2013-08-18,2,1.6094379124341,-0.112157412207071,309,0.741937344729377,0.261677148253693,0.205162926420788,-0.140442187531052,0.663796484038437,0.0365470771780732,0.0244546078564519,0.0486395464996944
"86","FluNet",2013,34,"2013/14",2013-08-25,2,0,0,311,0.741937344729377,0.355230944089953,0.213147117431335,-0.062537406075464,0.772999294255369,0.04677689791813,0.0389523907277939,0.0546014051084661
"87","FluNet",2013,35,"2013/14",2013-09-01,1,-0.510825623765991,0.366204096222703,313,0.0953101798043249,0.463310953401473,0.213611741662615,0.0446319397427478,0.881989967060199,0.0540400046557604,0.0535846729091059,0.0544953364024148
"88","FluNet",2013,36,"2013/14",2013-09-08,3,0.847297860387204,0.112157412207071,315,1.1314021114911,0.583241303494998,0.206958020480201,0.177603583353804,0.988879023636193,0.0599651750467625,0.0664858218055281,0.053444528287997
"89","FluNet",2013,40,"2013/14",2013-10-06,3,0,0.112157412207071,320,1.1314021114911,0.933854118358313,0.182306650611595,0.576533083159588,1.29117515355704,0.070122562972663,0.0797858999611567,0.0604592259841693
"90","FluNet",2013,41,"2013/14",2013-10-13,3,0,0.282432620129068,322,1.1314021114911,1.09410152371535,0.178852397946935,0.743550823739362,1.44465222369135,0.0801237026785208,0.0835088702898873,0.0767385350671542
"91","FluNet",2013,42,"2013/14",2013-10-20,4,0.251314428280906,0.0837714760936354,324,1.41098697371026,1.26560023362762,0.181668118925917,0.909530720532821,1.62166974672242,0.085749354956132,0.0829899483967296,0.0885087615155344
"92","FluNet",2013,43,"2013/14",2013-10-27,4,0,0.0837714760936354,326,1.41098697371026,1.44823120183221,0.188971624230886,1.07784681833967,1.81861558532474,0.091315484102295,0.0841580489034256,0.0984729193011643
"93","FluNet",2013,44,"2013/14",2013-11-03,8,0.635988766719996,0.295767731666968,328,2.09186406167839,1.64187538206624,0.197148418039357,1.2554644827091,2.02828628142338,0.0968220901170174,0.0888088321847151,0.10483534804932
"94","FluNet",2013,45,"2013/14",2013-11-10,17,0.722134717433198,0.452707828051065,330,2.83907846350861,1.84641372806683,0.202192383157097,1.45011665707892,2.24271079905474,0.102269173000292,0.0973260871849065,0.107212258815677
"95","FluNet",2013,46,"2013/14",2013-11-17,6,-0.990398704027877,0.122574926708439,332,1.80828877117927,2.06168632878209,0.200869546983164,1.66798201669509,2.45539064086909,0.107636300357632,0.108932679808086,0.106339920907177
"96","FluNet",2013,47,"2013/14",2013-11-24,4,-0.367724780125317,-0.211996255573332,334,1.41098697371026,2.28676446466893,0.193309396656696,1.9078780472218,2.66565088211605,0.112539067943418,0.119948015263356,0.105130120623479
"97","FluNet",2013,48,"2013/14",2013-12-01,8,0.635988766719996,-0.240711572477733,336,2.09186406167839,2.52003512259961,0.182813587170693,2.16172049174505,2.87834975345417,0.116635328965342,0.126921222261625,0.106349435669058
"98","FluNet",2013,49,"2013/14",2013-12-08,10,0.211309093667207,0.159857693420629,338,2.31253542384721,2.75986139953125,0.173496750892435,2.41980776778208,3.09991503128042,0.119913138465821,0.129043638018514,0.110782638913127
"99","FluNet",2013,50,"2013/14",2013-12-15,24,0.847297860387204,0.564865240258136,340,3.18221184049661,3.00460639242097,0.169157367379728,2.6730579523567,3.33615483248524,0.122372496444859,0.126625092287311,0.118119900602407
"100","FluNet",2013,51,"2013/14",2013-12-22,22,-0.0851578083403073,0.324483048571368,342,3.09557760852371,3.25263319822586,0.171677787004558,2.91614473569693,3.58912166075479,0.124013402902446,0.121543391670113,0.126483414134779
"101","FluNet",2013,52,"2013/14",2013-12-29,22,0,0.254046684015632,344,3.09557760852371,3.50230491390305,0.17994837793601,3.14960609314847,3.85500373465762,0.124835857838592,0.116730678725769,0.132941036951415
"102","FluNet",2013,1,"2013/14",2014-01-05,61,1.0055218656021,0.306788019087264,346,4.11251186617755,3.75198463640963,0.19051384774032,3.3785774948386,4.12539177798065,0.124839861253291,0.114485700845067,0.135194021661515
"103","FluNet",2014,2,"2013/14",2014-01-12,64,0.047628048989254,0.351049971530451,348,4.16044436392662,4.00003546270272,0.199178311462434,3.60964597223635,4.39042495316909,0.124025413146547,0.115534238698875,0.132516587594219
"104","FluNet",2014,3,"2013/14",2014-01-19,88,0.316337328212157,0.45649574760117,350,4.47847253294213,4.24482048973942,0.202224820103319,3.84845984233692,4.64118113714193,0.122392513518352,0.119406935050285,0.125378091986419
"105","FluNet",2014,4,"2013/14",2014-01-26,76,-0.145711811181394,0.0727511886733391,352,4.33204826486764,4.48360255974601,0.197828221083037,4.09585924642325,4.87134587306876,0.11939103500329,0.123699702043167,0.115082367963414
"106","FluNet",2014,5,"2013/14",2014-02-02,119,0.446025630539076,0.20555038252328,354,4.77996347636125,4.70906950402944,0.18851704262188,4.33957610049056,5.07856290756833,0.112733472141718,0.121858427033652,0.103608517249784
"107","FluNet",2014,6,"2013/14",2014-02-09,179,0.406858836556768,0.23572421863815,356,5.18794430906667,4.91272019719872,0.178620244220826,4.5626245185259,5.26281587587154,0.10182534658464,0.111524209017674,0.0921264841516072
"108","FluNet",2014,7,"2013/14",2014-02-16,178,-0.00558660670863986,0.282432620129068,358,5.18234519029562,5.08605351139375,0.172570106306869,4.74781610303229,5.42429091975522,0.0866666570975152,0.092595792253193,0.0807375219418374
"109","FluNet",2014,8,"2013/14",2014-02-23,175,-0.0169495583137724,0.128107557178118,360,5.16535723929181,5.22056831875442,0.173293353409082,4.88091334607262,5.56022329143623,0.0672574036803355,0.066548621520166,0.067966185840505
"110","FluNet",2014,9,"2013/14",2014-03-02,228,0.263897167428339,0.0804536674686422,362,5.42978412929034,5.30776349142063,0.180655415814386,4.95367887642444,5.66184810641683,0.0435975863331048,0.0363827651759077,0.050812407490302
"111","FluNet",2014,10,"2013/14",2014-03-09,190,-0.181884015767504,0.0216878644490208,364,5.24755024949438,5.33913790153227,0.191575348816392,4.96365021785214,5.7146255852124,0.0156872050558192,0.00498567071385336,0.0263887393977851
"112","FluNet",2014,11,"2013/14",2014-03-16,209,0.0950715447954362,0.0590282321520904,366,5.34281260643459,5.30619042122924,0.201675986596562,4.91090548749998,5.7014753549585,-0.0164737401515143,-0.0263723651760817,-0.00657511512694686
"113","FluNet",2014,12,"2013/14",2014-03-23,153,-0.311023172334941,-0.132611881102336,368,5.03109130266364,5.20041992265144,0.206841448779786,4.79501068304306,5.60582916225982,-0.0528852492889,-0.0579474022284594,-0.0478230963493407
"114","FluNet",2014,13,"2013/14",2014-03-30,123,-0.217459410959219,-0.144470346166241,370,4.81299703319041,5.01363636441701,0.204256409527389,4.61329380174333,5.41397892709069,-0.0933917791172161,-0.0908584406498667,-0.0959251175845655
"115","FluNet",2014,14,"2013/14",2014-04-06,107,-0.138750308500315,-0.222410963931492,372,4.6737629774537,4.74787269412549,0.19521612339924,4.36524909226298,5.130496295988,-0.13288183514576,-0.124022354740175,-0.141741315551346
"116","FluNet",2014,15,"2013/14",2014-04-13,93,-0.139529411273076,-0.16524637691087,374,4.53367418428302,4.41745098935103,0.185593823066989,4.05368709613973,4.78121488256233,-0.165210852387231,-0.155780998061625,-0.174640706712836
"117","FluNet",2014,16,"2013/14",2014-04-20,36,-0.940649175706196,-0.406309631826529,376,3.58629286533884,4.03742203655972,0.182407730804596,3.67990288418272,4.39494118893673,-0.190014476395652,-0.186892105978506,-0.193136846812799
"118","FluNet",2014,17,"2013/14",2014-04-27,48,0.284251537354991,-0.265309016541427,378,3.87328217711172,3.62283662221766,0.190835886885035,3.24879828392299,3.99687496051233,-0.207292707171032,-0.215552300129863,-0.199033114212201
"119","FluNet",2014,18,"2013/14",2014-05-04,44,-0.0860746087712427,-0.247490749040816,380,3.7864597824528,3.18874553279093,0.211051047651697,2.77508547939361,3.60240558618826,-0.217045544713364,-0.236856402264693,-0.197234687162036
"120","FluNet",2014,19,"2013/14",2014-05-11,27,-0.481303184499669,-0.0943754186386401,382,3.29953372788566,2.75019955474562,0.238643920226341,2.28245747110199,3.21794163838925,-0.219272989022655,-0.246314004145806,-0.192231973899504
"121","FluNet",2014,20,"2013/14",2014-05-18,19,-0.343771539102825,-0.303716444124579,384,2.94968833505258,2.32224947454782,0.267705424454657,1.79754684261669,2.84695210647895,-0.213975040098901,-0.24245531424265,-0.185494765955152
