Season,1-4,5-14,45-64,65+
2023 to 2024,0.19950994945390388,0.30639030121649125,0.0996281072699694,0.24925561983129896
2024 to 2025,0.14611740260350836,0.19170078162602178,0.10356365895005615,0.13984525680694393
2025 to 2026,0.4915011074830429,0.5800406900541923,0.10671460932070254,0.18969087338073676
