"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Ethnicity","Ethnicity_type","Age_Group","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Mixed","ONS 2021 5+1","Age 15","4.876722263","% of Total Age Group Population","2.298555926","% of Total Ethnic Group Population","2690","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Mixed","ONS 2021 5+1","Age 15","5.767493572","% of Total Age Group Population","2.312493035","% of Total Ethnic Group Population","4150","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Mixed","ONS 2021 5+1","Age 15","9.800190295","% of Total Age Group Population","1.934826884","% of Total Ethnic Group Population","9785","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Mixed","ONS 2021 5+1","Age 15","2.54369268","% of Total Age Group Population","2.224576271","% of Total Ethnic Group Population","735","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Mixed","ONS 2021 5+1","Age 15","4.08057255","% of Total Age Group Population","2.16891125","% of Total Ethnic Group Population","3535","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Mixed","ONS 2021 5+1","Age 15","5.769590425","% of Total Age Group Population","2.366251198","% of Total Ethnic Group Population","6170","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Mixed","ONS 2021 5+1","Age 15","4.509592227","% of Total Age Group Population","2.383774529","% of Total Ethnic Group Population","2715","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Mixed","ONS 2021 5+1","Age 15","6.029587043","% of Total Age Group Population","2.415119773","% of Total Ethnic Group Population","4300","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Mixed","ONS 2021 5+1","Age 15","4.2731661","% of Total Age Group Population","2.312237732","% of Total Ethnic Group Population","2700","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Mixed White and Asian","ONS 2021 19+1","Age 15","1.693478854","% of Total Age Group Population","2.353615945","% of Total Ethnic Group Population","11490","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Mixed White and Asian","ONS 2021 19+1","Age 15","1.72562353","% of Total Age Group Population","2.343997132","% of Total Ethnic Group Population","11115","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Mixed White and Asian","ONS 2021 19+1","Age 15","1.091226539","% of Total Age Group Population","2.68432355","% of Total Ethnic Group Population","375","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Mixed White and Asian","ONS 2021 19+1","Age 15","1.359680928","% of Total Age Group Population","2.440214739","% of Total Ethnic Group Population","750","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Mixed White and Asian","ONS 2021 19+1","Age 15","1.730248072","% of Total Age Group Population","2.42029549","% of Total Ethnic Group Population","1245","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Mixed White and Asian","ONS 2021 19+1","Age 15","2.388702489","% of Total Age Group Population","1.905180333","% of Total Ethnic Group Population","2385","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Mixed White and Asian","ONS 2021 19+1","Age 15","1.020937879","% of Total Age Group Population","2.372336148","% of Total Ethnic Group Population","295","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Mixed White and Asian","ONS 2021 19+1","Age 15","1.321713032","% of Total Age Group Population","2.397654696","% of Total Ethnic Group Population","1145","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Mixed White and Asian","ONS 2021 19+1","Age 15","2.11333458","% of Total Age Group Population","2.565703582","% of Total Ethnic Group Population","2260","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Mixed White and Asian","ONS 2021 19+1","Age 15","1.45336766","% of Total Age Group Population","2.507163324","% of Total Ethnic Group Population","875","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Mixed White and Asian","ONS 2021 19+1","Age 15","1.717731193","% of Total Age Group Population","2.638380358","% of Total Ethnic Group Population","1225","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Mixed White and Asian","ONS 2021 19+1","Age 15","1.479781594","% of Total Age Group Population","2.539035981","% of Total Ethnic Group Population","935","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Mixed White and Black African","ONS 2021 19+1","Age 15","0.869584442","% of Total Age Group Population","2.364113558","% of Total Ethnic Group Population","5900","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Mixed White and Black African","ONS 2021 19+1","Age 15","0.889592697","% of Total Age Group Population","2.372376102","% of Total Ethnic Group Population","5730","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Mixed White and Black African","ONS 2021 19+1","Age 15","0.480139677","% of Total Age Group Population","2.063789869","% of Total Ethnic Group Population","165","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Mixed White and Black African","ONS 2021 19+1","Age 15","0.643582306","% of Total Age Group Population","2.485124256","% of Total Ethnic Group Population","355","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Mixed White and Black African","ONS 2021 19+1","Age 15","0.979779029","% of Total Age Group Population","2.580527086","% of Total Ethnic Group Population","705","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Mixed White and Black African","ONS 2021 19+1","Age 15","1.57744504","% of Total Age Group Population","2.036330726","% of Total Ethnic Group Population","1575","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Mixed White and Black African","ONS 2021 19+1","Age 15","0.622945146","% of Total Age Group Population","2.775636083","% of Total Ethnic Group Population","180","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Mixed White and Black African","ONS 2021 19+1","Age 15","0.784947478","% of Total Age Group Population","2.271209085","% of Total Ethnic Group Population","680","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Mixed White and Black African","ONS 2021 19+1","Age 15","0.939779316","% of Total Age Group Population","2.604976672","% of Total Ethnic Group Population","1005","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Mixed White and Black African","ONS 2021 19+1","Age 15","0.722531351","% of Total Age Group Population","2.79025016","% of Total Ethnic Group Population","435","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Mixed White and Black African","ONS 2021 19+1","Age 15","0.574914113","% of Total Age Group Population","2.570532915","% of Total Ethnic Group Population","410","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Mixed White and Black African","ONS 2021 19+1","Age 15","0.617235103","% of Total Age Group Population","2.503209243","% of Total Ethnic Group Population","390","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","1.708954509","% of Total Age Group Population","2.260079722","% of Total Ethnic Group Population","11595","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","1.757450145","% of Total Age Group Population","2.267174044","% of Total Ethnic Group Population","11320","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","0.800232795","% of Total Age Group Population","2.010968921","% of Total Ethnic Group Population","275","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","1.957940537","% of Total Age Group Population","2.329343255","% of Total Ethnic Group Population","1080","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","1.730248072","% of Total Age Group Population","2.399768697","% of Total Ethnic Group Population","1245","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","2.894486454","% of Total Age Group Population","2.180720619","% of Total Ethnic Group Population","2890","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","0.363384669","% of Total Age Group Population","1.88003581","% of Total Ethnic Group Population","105","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","1.188964562","% of Total Age Group Population","2.195693882","% of Total Ethnic Group Population","1030","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","1.369927062","% of Total Age Group Population","2.360618756","% of Total Ethnic Group Population","1465","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","1.312183373","% of Total Age Group Population","2.381311228","% of Total Ethnic Group Population","790","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","2.601135806","% of Total Age Group Population","2.285467874","% of Total Ethnic Group Population","1855","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Mixed White and Black Caribbean","ONS 2021 19+1","Age 15","1.353169265","% of Total Age Group Population","2.179176755","% of Total Ethnic Group Population","855","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","1.302902791","% of Total Age Group Population","1.892568884","% of Total Ethnic Group Population","8840","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","1.335941563","% of Total Age Group Population","1.8938727","% of Total Ethnic Group Population","8605","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","0.698384985","% of Total Age Group Population","1.888276947","% of Total Ethnic Group Population","240","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","0.915518492","% of Total Age Group Population","1.969194775","% of Total Ethnic Group Population","505","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","1.3272184","% of Total Age Group Population","1.956165506","% of Total Ethnic Group Population","955","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","2.939556312","% of Total Age Group Population","1.719642596","% of Total Ethnic Group Population","2935","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","0.536424987","% of Total Age Group Population","1.816051552","% of Total Ethnic Group Population","155","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","0.784947478","% of Total Age Group Population","1.771756123","% of Total Ethnic Group Population","680","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","1.346549467","% of Total Age Group Population","1.999305797","% of Total Ethnic Group Population","1440","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","1.021509841","% of Total Age Group Population","2.034402911","% of Total Ethnic Group Population","615","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","1.135805931","% of Total Age Group Population","2.347826087","% of Total Ethnic Group Population","810","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 15","0.822980138","% of Total Age Group Population","2.069239952","% of Total Ethnic Group Population","520","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","White","ONS 2021 5+1","Age 15","74.07459266","% of Total Age Group Population","1.032019006","% of Total Ethnic Group Population","502585","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","White","ONS 2021 5+1","Age 15","73.18879393","% of Total Age Group Population","1.029675748","% of Total Ethnic Group Population","471420","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","White","ONS 2021 5+1","Age 15","90.70274989","% of Total Age Group Population","1.069071191","% of Total Ethnic Group Population","31170","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","White","ONS 2021 5+1","Age 15","80.28462654","% of Total Age Group Population","1.059544816","% of Total Ethnic Group Population","44285","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","White","ONS 2021 5+1","Age 15","80.61288305","% of Total Age Group Population","1.058825462","% of Total Ethnic Group Population","58005","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","White","ONS 2021 5+1","Age 15","39.0004507","% of Total Age Group Population","0.823067883","% of Total Ethnic Group Population","38940","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","White","ONS 2021 5+1","Age 15","90.03287766","% of Total Age Group Population","1.056470297","% of Total Ethnic Group Population","26015","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","White","ONS 2021 5+1","Age 15","77.73865866","% of Total Age Group Population","1.061016525","% of Total Ethnic Group Population","67345","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","White","ONS 2021 5+1","Age 15","81.17168506","% of Total Age Group Population","1.083805962","% of Total Ethnic Group Population","86805","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","White","ONS 2021 5+1","Age 15","89.51083797","% of Total Age Group Population","1.014966471","% of Total Ethnic Group Population","53890","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","White","ONS 2021 5+1","Age 15","66.37453551","% of Total Age Group Population","1.032425376","% of Total Ethnic Group Population","47335","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","White","ONS 2021 5+1","Age 15","77.24143388","% of Total Age Group Population","1.042880877","% of Total Ethnic Group Population","48805","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","White British","ONS 2021 19+1","Age 15","69.05458485","% of Total Age Group Population","1.056306473","% of Total Ethnic Group Population","468525","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","White British","ONS 2021 19+1","Age 15","68.03210607","% of Total Age Group Population","1.054879085","% of Total Ethnic Group Population","438205","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","White British","ONS 2021 19+1","Age 15","88.22930307","% of Total Age Group Population","1.077374078","% of Total Ethnic Group Population","30320","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","White British","ONS 2021 19+1","Age 15","75.70703408","% of Total Age Group Population","1.075631637","% of Total Ethnic Group Population","41760","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","White British","ONS 2021 19+1","Age 15","74.74810646","% of Total Age Group Population","1.081729561","% of Total Ethnic Group Population","53785","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","White British","ONS 2021 19+1","Age 15","28.8847714","% of Total Age Group Population","0.890324054","% of Total Ethnic Group Population","28840","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","White British","ONS 2021 19+1","Age 15","88.042914","% of Total Age Group Population","1.061094253","% of Total Ethnic Group Population","25440","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","White British","ONS 2021 19+1","Age 15","74.81242064","% of Total Age Group Population","1.076687173","% of Total Ethnic Group Population","64810","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","White British","ONS 2021 19+1","Age 15","75.70600337","% of Total Age Group Population","1.106757839","% of Total Ethnic Group Population","80960","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","White British","ONS 2021 19+1","Age 15","85.56598289","% of Total Age Group Population","1.028623344","% of Total Ethnic Group Population","51515","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","White British","ONS 2021 19+1","Age 15","62.65862722","% of Total Age Group Population","1.045132364","% of Total Ethnic Group Population","44685","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","White British","ONS 2021 19+1","Age 15","73.45097729","% of Total Age Group Population","1.047329547","% of Total Ethnic Group Population","46410","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","White Irish","ONS 2021 19+1","Age 15","0.300669875","% of Total Age Group Population","0.401994207","% of Total Ethnic Group Population","2040","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","White Irish","ONS 2021 19+1","Age 15","0.310503559","% of Total Age Group Population","0.404649422","% of Total Ethnic Group Population","2000","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","White Irish","ONS 2021 19+1","Age 15","0.116397497","% of Total Age Group Population","0.303605313","% of Total Ethnic Group Population","40","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","White Irish","ONS 2021 19+1","Age 15","0.172226251","% of Total Age Group Population","0.350294985","% of Total Ethnic Group Population","95","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","White Irish","ONS 2021 19+1","Age 15","0.361336947","% of Total Age Group Population","0.448430493","% of Total Ethnic Group Population","260","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","White Irish","ONS 2021 19+1","Age 15","0.605939206","% of Total Age Group Population","0.386977101","% of Total Ethnic Group Population","605","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","White Irish","ONS 2021 19+1","Age 15","0.103824191","% of Total Age Group Population","0.359066427","% of Total Ethnic Group Population","30","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","White Irish","ONS 2021 19+1","Age 15","0.248181923","% of Total Age Group Population","0.350077343","% of Total Ethnic Group Population","215","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","White Irish","ONS 2021 19+1","Age 15","0.341312886","% of Total Age Group Population","0.466722077","% of Total Ethnic Group Population","365","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","White Irish","ONS 2021 19+1","Age 15","0.224233868","% of Total Age Group Population","0.425666089","% of Total Ethnic Group Population","135","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","White Irish","ONS 2021 19+1","Age 15","0.280445909","% of Total Age Group Population","0.417667328","% of Total Ethnic Group Population","200","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","White Irish","ONS 2021 19+1","Age 15","0.150352141","% of Total Age Group Population","0.376984127","% of Total Ethnic Group Population","95","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.178338504","% of Total Age Group Population","1.786241512","% of Total Ethnic Group Population","1210","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.177763288","% of Total Age Group Population","1.783350206","% of Total Ethnic Group Population","1145","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.189145933","% of Total Age Group Population","1.881331404","% of Total Ethnic Group Population","65","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.145032632","% of Total Age Group Population","1.756311745","% of Total Ethnic Group Population","80","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.215412411","% of Total Age Group Population","1.734750979","% of Total Ethnic Group Population","155","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.125194051","% of Total Age Group Population","1.792114695","% of Total Ethnic Group Population","125","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.173040318","% of Total Age Group Population","1.976284585","% of Total Ethnic Group Population","50","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.103890107","% of Total Age Group Population","1.584507042","% of Total Ethnic Group Population","90","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.327286329","% of Total Age Group Population","2.095181084","% of Total Ethnic Group Population","350","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.157794203","% of Total Age Group Population","1.494885917","% of Total Ethnic Group Population","95","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.140222954","% of Total Age Group Population","1.620745543","% of Total Ethnic Group Population","100","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Gypsy or Irish Traveller","ONS 2021 19+1","Age 15","0.158265411","% of Total Age Group Population","1.715265866","% of Total Ethnic Group Population","100","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Roma","ONS 2021 19+1","Age 15","0.13338541","% of Total Age Group Population","0.896483408","% of Total Ethnic Group Population","905","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Roma","ONS 2021 19+1","Age 15","0.138174084","% of Total Age Group Population","0.897946829","% of Total Ethnic Group Population","890","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Roma","ONS 2021 19+1","Age 15","0.058198749","% of Total Age Group Population","1.129943503","% of Total Ethnic Group Population","20","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Roma","ONS 2021 19+1","Age 15","0.126903553","% of Total Age Group Population","0.980392157","% of Total Ethnic Group Population","70","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Roma","ONS 2021 19+1","Age 15","0.118129386","% of Total Age Group Population","0.885416667","% of Total Ethnic Group Population","85","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Roma","ONS 2021 19+1","Age 15","0.190294957","% of Total Age Group Population","0.50484921","% of Total Ethnic Group Population","190","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Roma","ONS 2021 19+1","Age 15","0.121128223","% of Total Age Group Population","1.535087719","% of Total Ethnic Group Population","35","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Roma","ONS 2021 19+1","Age 15","0.086575089","% of Total Age Group Population","1.033057851","% of Total Ethnic Group Population","75","86630"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Roma","ONS 2021 19+1","Age 15","0.116887975","% of Total Age Group Population","0.981932443","% of Total Ethnic Group Population","125","106940"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Roma","ONS 2021 19+1","Age 15","0.083049581","% of Total Age Group Population","0.875656743","% of Total Ethnic Group Population","50","60205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Roma","ONS 2021 19+1","Age 15","0.112178364","% of Total Age Group Population","1.19670905","% of Total Ethnic Group Population","80","71315"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Roma","ONS 2021 19+1","Age 15","0.28487774","% of Total Age Group Population","1.910828025","% of Total Ethnic Group Population","180","63185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Any Other White Background","ONS 2021 19+1","Age 15","4.407614022","% of Total Age Group Population","0.815291104","% of Total Ethnic Group Population","29905","678485"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Any Other White Background","ONS 2021 19+1","Age 15","4.530246928","% of Total Age Group Population","0.813949272","% of Total Ethnic Group Population","29180","644115"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Any Other White Background","ONS 2021 19+1","Age 15","2.109704641","% of Total Age Group Population","0.873862472","% of Total Ethnic Group Population","725","34365"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other White Background","ONS 2021 19+1","Age 15","4.133430022","% of Total Age Group Population","0.882216375","% of Total Ethnic Group Population","2280","55160"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other White Background","ONS 2021 19+1","Age 15","5.169897853","% of Total Age Group Population","0.865931866","% of Total Ethnic Group Population","3720","71955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other White Background","ONS 2021 19+1","Age 15","9.194251089","% of Total Age Group Population","0.711153804","% of Total Ethnic Group Population","9180","99845"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other White Background","ONS 2021 19+1","Age 15","1.591970929","% of Total Age Group Population","0.888803014","% of Total Ethnic Group Population","460","28895"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other White Background","ONS 2021 19+1","Age 15","2.487590904","% of Total Age Group Population","0.850199235","% of Total Ethnic Group Population","2155","86630"
