"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Ethnicity","Ethnicity_type","Age_Group","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Bangladeshi","ONS 2021 19+1","All","0.799823191","% of Total Age Group Population","100","% of Total Ethnic Group Population","50665","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Bangladeshi","ONS 2021 19+1","All","3.659825447","% of Total Age Group Population","100","% of Total Ethnic Group Population","322050","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Bangladeshi","ONS 2021 19+1","All","0.616030008","% of Total Age Group Population","100","% of Total Ethnic Group Population","16300","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Bangladeshi","ONS 2021 19+1","All","0.820049551","% of Total Age Group Population","100","% of Total Ethnic Group Population","60820","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Bangladeshi","ONS 2021 19+1","All","0.429420245","% of Total Age Group Population","100","% of Total Ethnic Group Population","39840","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Bangladeshi","ONS 2021 19+1","All","0.213220551","% of Total Age Group Population","100","% of Total Ethnic Group Population","12155","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Bangladeshi","ONS 2021 19+1","All","1.302476133","% of Total Age Group Population","100","% of Total Ethnic Group Population","77500","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Bangladeshi","ONS 2021 19+1","All","0.528923358","% of Total Age Group Population","100","% of Total Ethnic Group Population","28985","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Chinese","ONS 2021 19+1","All","0.747699964","% of Total Age Group Population","100","% of Total Ethnic Group Population","445610","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Chinese","ONS 2021 19+1","All","0.76325993","% of Total Age Group Population","100","% of Total Ethnic Group Population","431165","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Chinese","ONS 2021 19+1","All","0.464194717","% of Total Age Group Population","100","% of Total Ethnic Group Population","14420","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Chinese","ONS 2021 19+1","All","0.470248989","% of Total Age Group Population","100","% of Total Ethnic Group Population","22945","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Chinese","ONS 2021 19+1","All","0.606517458","% of Total Age Group Population","100","% of Total Ethnic Group Population","38420","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Chinese","ONS 2021 19+1","All","1.676212555","% of Total Age Group Population","100","% of Total Ethnic Group Population","147500","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Chinese","ONS 2021 19+1","All","0.545545593","% of Total Age Group Population","100","% of Total Ethnic Group Population","14435","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Chinese","ONS 2021 19+1","All","0.728296226","% of Total Age Group Population","100","% of Total Ethnic Group Population","54015","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Chinese","ONS 2021 19+1","All","0.693173091","% of Total Age Group Population","100","% of Total Ethnic Group Population","64310","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Chinese","ONS 2021 19+1","All","0.464155968","% of Total Age Group Population","100","% of Total Ethnic Group Population","26460","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Chinese","ONS 2021 19+1","All","0.559140399","% of Total Age Group Population","100","% of Total Ethnic Group Population","33270","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Chinese","ONS 2021 19+1","All","0.539233577","% of Total Age Group Population","100","% of Total Ethnic Group Population","29550","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Indian","ONS 2021 19+1","All","3.128196708","% of Total Age Group Population","100","% of Total Ethnic Group Population","1864325","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Indian","ONS 2021 19+1","All","3.262917833","% of Total Age Group Population","100","% of Total Ethnic Group Population","1843220","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Indian","ONS 2021 19+1","All","0.677460321","% of Total Age Group Population","100","% of Total Ethnic Group Population","21045","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Indian","ONS 2021 19+1","All","4.710175372","% of Total Age Group Population","100","% of Total Ethnic Group Population","229825","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Indian","ONS 2021 19+1","All","2.161882698","% of Total Age Group Population","100","% of Total Ethnic Group Population","136945","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Indian","ONS 2021 19+1","All","7.457952634","% of Total Age Group Population","100","% of Total Ethnic Group Population","656270","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Indian","ONS 2021 19+1","All","0.832018443","% of Total Age Group Population","100","% of Total Ethnic Group Population","22015","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Indian","ONS 2021 19+1","All","1.893044343","% of Total Age Group Population","100","% of Total Ethnic Group Population","140400","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Indian","ONS 2021 19+1","All","2.603468021","% of Total Age Group Population","100","% of Total Ethnic Group Population","241540","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Indian","ONS 2021 19+1","All","1.031808542","% of Total Age Group Population","100","% of Total Ethnic Group Population","58820","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Indian","ONS 2021 19+1","All","4.638999833","% of Total Age Group Population","100","% of Total Ethnic Group Population","276030","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Indian","ONS 2021 19+1","All","1.483120438","% of Total Age Group Population","100","% of Total Ethnic Group Population","81275","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Pakistani","ONS 2021 19+1","All","2.664250567","% of Total Age Group Population","100","% of Total Ethnic Group Population","1587825","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Pakistani","ONS 2021 19+1","All","2.779787477","% of Total Age Group Population","100","% of Total Ethnic Group Population","1570300","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Pakistani","ONS 2021 19+1","All","0.563504058","% of Total Age Group Population","100","% of Total Ethnic Group Population","17505","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Pakistani","ONS 2021 19+1","All","1.455425233","% of Total Age Group Population","100","% of Total Ethnic Group Population","71015","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Pakistani","ONS 2021 19+1","All","1.569652026","% of Total Age Group Population","100","% of Total Ethnic Group Population","99430","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Pakistani","ONS 2021 19+1","All","3.301911451","% of Total Age Group Population","100","% of Total Ethnic Group Population","290555","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Pakistani","ONS 2021 19+1","All","1.030433016","% of Total Age Group Population","100","% of Total Ethnic Group Population","27265","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Pakistani","ONS 2021 19+1","All","4.093303895","% of Total Age Group Population","100","% of Total Ethnic Group Population","303585","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Pakistani","ONS 2021 19+1","All","1.565971895","% of Total Age Group Population","100","% of Total Ethnic Group Population","145285","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Pakistani","ONS 2021 19+1","All","0.305841243","% of Total Age Group Population","100","% of Total Ethnic Group Population","17435","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Pakistani","ONS 2021 19+1","All","5.36401687","% of Total Age Group Population","100","% of Total Ethnic Group Population","319170","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Pakistani","ONS 2021 19+1","All","5.409215328","% of Total Age Group Population","100","% of Total Ethnic Group Population","296425","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Any Other Asian Background","ONS 2021 19+1","All","1.632293403","% of Total Age Group Population","100","% of Total Ethnic Group Population","972805","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Any Other Asian Background","ONS 2021 19+1","All","1.685477394","% of Total Age Group Population","100","% of Total Ethnic Group Population","952125","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Any Other Asian Background","ONS 2021 19+1","All","0.662974355","% of Total Age Group Population","100","% of Total Ethnic Group Population","20595","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other Asian Background","ONS 2021 19+1","All","0.947568621","% of Total Age Group Population","100","% of Total Ethnic Group Population","46235","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other Asian Background","ONS 2021 19+1","All","1.267340487","% of Total Age Group Population","100","% of Total Ethnic Group Population","80280","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other Asian Background","ONS 2021 19+1","All","4.56003682","% of Total Age Group Population","100","% of Total Ethnic Group Population","401265","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other Asian Background","ONS 2021 19+1","All","0.676877144","% of Total Age Group Population","100","% of Total Ethnic Group Population","17910","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other Asian Background","ONS 2021 19+1","All","0.858948646","% of Total Age Group Population","100","% of Total Ethnic Group Population","63705","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other Asian Background","ONS 2021 19+1","All","1.718920521","% of Total Age Group Population","100","% of Total Ethnic Group Population","159475","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Any Other Asian Background","ONS 2021 19+1","All","0.774645787","% of Total Age Group Population","100","% of Total Ethnic Group Population","44160","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Any Other Asian Background","ONS 2021 19+1","All","1.482637993","% of Total Age Group Population","100","% of Total Ethnic Group Population","88220","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Any Other Asian Background","ONS 2021 19+1","All","0.924361314","% of Total Age Group Population","100","% of Total Ethnic Group Population","50655","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Black","ONS 2021 5+1","All","4.042590088","% of Total Age Group Population","100","% of Total Ethnic Group Population","2409280","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Black","ONS 2021 5+1","All","4.216202782","% of Total Age Group Population","100","% of Total Ethnic Group Population","2381730","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Black","ONS 2021 5+1","All","0.879298107","% of Total Age Group Population","100","% of Total Ethnic Group Population","27315","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Black","ONS 2021 5+1","All","2.661328502","% of Total Age Group Population","100","% of Total Ethnic Group Population","129855","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Black","ONS 2021 5+1","All","2.918687668","% of Total Age Group Population","100","% of Total Ethnic Group Population","184885","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Black","ONS 2021 5+1","All","13.50493204","% of Total Age Group Population","100","% of Total Ethnic Group Population","1188380","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Black","ONS 2021 5+1","All","0.996419089","% of Total Age Group Population","100","% of Total Ethnic Group Population","26365","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Black","ONS 2021 5+1","All","2.343383952","% of Total Age Group Population","100","% of Total Ethnic Group Population","173800","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Black","ONS 2021 5+1","All","2.387410571","% of Total Age Group Population","100","% of Total Ethnic Group Population","221495","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Black","ONS 2021 5+1","All","1.219505777","% of Total Age Group Population","100","% of Total Ethnic Group Population","69520","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Black","ONS 2021 5+1","All","4.519844274","% of Total Age Group Population","100","% of Total Ethnic Group Population","268940","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Black","ONS 2021 5+1","All","2.144708029","% of Total Age Group Population","100","% of Total Ethnic Group Population","117530","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Black African","ONS 2021 19+1","All","2.497397749","% of Total Age Group Population","100","% of Total Ethnic Group Population","1488385","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Black African","ONS 2021 19+1","All","2.599534112","% of Total Age Group Population","100","% of Total Ethnic Group Population","1468475","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Black African","ONS 2021 19+1","All","0.637704393","% of Total Age Group Population","100","% of Total Ethnic Group Population","19810","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Black African","ONS 2021 19+1","All","1.703307626","% of Total Age Group Population","100","% of Total Ethnic Group Population","83110","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Black African","ONS 2021 19+1","All","1.874094743","% of Total Age Group Population","100","% of Total Ethnic Group Population","118715","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Black African","ONS 2021 19+1","All","7.921325969","% of Total Age Group Population","100","% of Total Ethnic Group Population","697045","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Black African","ONS 2021 19+1","All","0.832774308","% of Total Age Group Population","100","% of Total Ethnic Group Population","22035","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Black African","ONS 2021 19+1","All","1.706503969","% of Total Age Group Population","100","% of Total Ethnic Group Population","126565","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Black African","ONS 2021 19+1","All","1.622290187","% of Total Age Group Population","100","% of Total Ethnic Group Population","150510","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Black African","ONS 2021 19+1","All","0.759296714","% of Total Age Group Population","100","% of Total Ethnic Group Population","43285","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Black African","ONS 2021 19+1","All","2.454789373","% of Total Age Group Population","100","% of Total Ethnic Group Population","146065","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Black African","ONS 2021 19+1","All","1.475821168","% of Total Age Group Population","100","% of Total Ethnic Group Population","80875","5480000"
