Year,Week,date,age_group,ILI,ILI_per_100k,total_samples,flu_samples,prop_flu,smooth_prop,ILI_flu
2023,48,2023-12-04,0-4,112.429395,4.5,2498431,2.141512285714286,0.03125,0.01904761904761905,1.677517957142858
2023,49,2023-12-11,0-4,122.42311900000001,4.900000000000001,2498431,3.3632725000000003,0.03614457831325301,0.027472527472527472,2.074018041666667
2023,50,2023-12-18,0-4,147.407429,5.9,2498431,8.14405685082873,0.08755760368663594,0.055248618784530384,3.9863015111951166
2023,51,2023-12-25,0-4,209.86820400000002,8.4,2498431,12.88299866138614,0.04918032786885246,0.061386138613861385,5.876455529755084
2021,52,2022-01-03,19-64,347.69641,1,34769641,23.946033746556477,0,0.06887052341597796,6.931746610845302
2022,1,2022-01-10,19-64,521.5446149999999,1.4999999999999998,34769641,14.830652559241704,0,0.028436018957345974,2.471775426540287
2022,2,2022-01-17,19-64,625.8535380000003,1.8000000000000007,34769641,0,0,0,0
2022,3,2022-01-24,19-64,452.0053329999999,1.2999999999999996,34769641,0,0,0,0
2022,4,2022-01-31,19-64,382.4660509999999,1.0999999999999996,34769641,0,0,0,0
2022,5,2022-02-07,19-64,347.69641,1,34769641,0,0,0,0
2022,6,2022-02-14,19-64,660.623179,1.9000000000000001,34769641,0,0,0,0
2022,7,2022-02-21,19-64,591.0838970000001,1.7000000000000004,34769641,6.7168624659090925,0.027777777777777776,0.011363636363636364,1.491443072578556e-15
2022,8,2022-02-28,19-64,417.23569200000003,1.2000000000000002,34769641,5.349175538461538,0,0.01282051282051282,1.1877555691123339e-15
2022,9,2022-03-07,19-64,556.3142560000002,1.6000000000000008,34769641,16.689427680000005,0.05555555555555555,0.03,5.563142560000005
2022,10,2022-03-14,19-64,904.0106659999998,2.599999999999999,34769641,23.58288693913043,0.0196078431372549,0.02608695652173913,15.72192462608696
2022,11,2022-03-21,19-64,521.5446149999999,1.4999999999999998,34769641,27.631502781456945,0.078125,0.05298013245033112,27.631502781456952
2022,12,2022-03-28,19-64,799.701743,2.3,34769641,41.127518211428566,0.05,0.05142857142857143,41.12751821142857
2022,13,2022-04-04,19-64,1043.0892299999998,2.9999999999999996,34769641,54.89943315789473,0.030303030303030304,0.05263157894736842,36.599622105263165
2022,14,2022-04-11,19-64,695.39282,2,34769641,31.004775414012745,0.06451612903225806,0.0445859872611465,20.669850276008507
2022,15,2022-04-18,19-64,591.0838970000001,1.7000000000000004,34769641,27.07254490076336,0.058823529411764705,0.04580152671755725,18.04836326717558
2022,16,2022-04-25,19-64,556.3142560000002,1.6000000000000008,34769641,41.723569200000014,0.13333333333333333,0.075,27.81571280000002
2022,17,2022-05-02,19-64,486.7749739999998,1.3999999999999995,34769641,46.35952133333331,0.14285714285714285,0.09523809523809523,15.453173777777785
2022,18,2022-05-09,19-64,486.7749739999998,1.3999999999999995,34769641,56.601741162790674,0.07142857142857142,0.11627906976744186,18.867247054263576
