"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H3)","A not subtyped"
"334","United Kingdom, England","Sentinel","2022-03",2022-01-17,79,0,79,0,0
"335","United Kingdom, England","Sentinel","2022-04",2022-01-24,59,0,59,0,0
"336","United Kingdom, England","Sentinel","2022-05",2022-01-31,76,2,74,2,0
"337","United Kingdom, England","Sentinel","2022-06",2022-02-07,64,0,64,0,0
"338","United Kingdom, England","Sentinel","2022-07",2022-02-14,36,0,36,0,0
"339","United Kingdom, England","Sentinel","2022-08",2022-02-21,70,1,69,1,0
"340","United Kingdom, England","Sentinel","2022-09",2022-02-28,55,0,55,0,0
"341","United Kingdom, England","Sentinel","2022-10",2022-03-07,62,4,58,4,0
"342","United Kingdom, England","Sentinel","2022-11",2022-03-14,87,4,83,4,0
"343","United Kingdom, England","Sentinel","2022-12",2022-03-21,107,7,99,7,0
"344","United Kingdom, England","Sentinel","2022-13",2022-03-28,103,3,98,3,0
"345","United Kingdom, England","Sentinel","2022-14",2022-04-04,99,5,94,5,0
"346","United Kingdom, England","Sentinel","2022-15",2022-04-11,57,4,53,4,0
"347","United Kingdom, England","Sentinel","2022-16",2022-04-18,53,5,48,5,0
"348","United Kingdom, England","Sentinel","2022-17",2022-04-25,35,2,33,2,0
"349","United Kingdom, England","Sentinel","2022-18",2022-05-02,25,4,21,4,0
"350","United Kingdom, England","Sentinel","2022-19",2022-05-09,46,2,44,2,0
"351","United Kingdom, England","Sentinel","2022-20",2022-05-16,45,2,42,2,0
"352","United Kingdom, England","Sentinel","2022-38",2022-09-19,1,0,0,0,0
