date,group,percentage_h3,percentage_h3_new,percentage_h1n1,percentage_h1n1_new,percentage_b,flu_prop,flu_prop_smooth,Year,Week,ILI,N,ILI_per_100k,Season,Influenza,ILI_plus
2023-11-06,19-64,0,0.1666666666666671,0,0,0,0.0189873417721519,0.012080536912751677,2023,44,1425.5552809999997,34769641,4.099999999999999,2023/24,17.221473193288585,2.8702455322147715
2023-11-13,19-64,0.25,0.08333333333333377,0.5,0.5,0.25,0.013071895424836602,0.013513513513513514,2023,45,1529.8642039999995,34769641,4.399999999999999,2023/24,20.67384059459459,1.7228200495495583
2023-11-20,19-64,0,0.08333333333333377,0,0,0,0.013793103448275862,0.015350877192982457,2023,46,1356.0159990000002,34769641,3.9000000000000004,2023/24,20.816035072368425,1.7346695893640447
2023-11-27,19-64,0.5,0.25000000000000044,0.5,0.5,0,0.032640949554896145,0.020364415862808145,2023,47,1495.0945629999997,34769641,4.299999999999999,2023/24,30.446727435155402,7.611681858788864
2023-12-04,19-64,0.42857142857142855,0.30952380952381,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.03553299492385787,0.02840352595494613,2023,48,1842.790973,34769641,5.3,2023/24,52.34176123114593,16.201021333449955
2023-12-11,19-64,0.5714285714285714,0.5000000000000004,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0741687979539642,0.0481283422459893,2023,49,2190.4873829999997,34769641,6.3,2023/24,105.42452645454543,52.712263227272764
2023-12-18,19-64,0.42857142857142855,0.47619047619047666,0.5238095238095238,0.5238095238095238,0.047619047619047616,0.10902255639097744,0.07668944570994685,2023,50,2572.953434,34769641,7.4,2023/24,197.3183726909643,93.96112985284024
2023-12-25,19-64,0.6666666666666666,0.555555555555556,0.3333333333333333,0.3333333333333333,0,0.11011904761904762,0.09849086576648133,2023,51,2990.1891259999993,34769641,8.599999999999998,2023/24,294.50631582525807,163.61461990292128
2022-01-03,5-18,0,0.36507936507936556,0,0,0,0,0.10894495412844037,2021,52,70.037426,9797125,0.7148773339117342,2021/22,7.630224162844036,2.7856373927843343
2022-01-10,5-18,0,0.22222222222222268,0,0,0,0,0.1048158640226629,2022,1,77.122315,9797125,0.7871933347793357,2021/22,8.083642082152975,1.7963649071451093
2022-01-17,5-18,0,4.810966440042345e-16,0,0,0,0,0,2022,2,64.612954,9797125,0.6595093356469373,2021/22,0,0
2022-01-24,5-18,0,4.810966440042345e-16,0,0,0,0,0,2022,3,78.478433,9797125,0.801035334345535,2021/22,0,0
2022-01-31,5-18,0,4.810966440042345e-16,0,0,0,0.058823529411764705,0.03125,2022,4,86.818007,9797125,0.8861580004338007,2021/22,2.71306271875,1.3052453689636292e-15
2022-02-07,5-18,0,4.810966440042345e-16,0,0,0,0,0.034482758620689655,2022,5,97.97125,9797125,1,2021/22,3.3783189655172414,1.625297916686202e-15
2022-02-14,5-18,0,4.810966440042345e-16,0,0,0,0,0.03225806451612903,2022,6,130.277727,9797125,1.3297546678234686,2021/22,4.202507322580645,2.0218121692967688e-15
2022-02-21,5-18,1,0.33333333333333376,0,0,0,0,0,2022,7,75.766197,9797125,0.7733513352131365,2021/22,0,0
2022-02-28,5-18,0,0.33333333333333376,0,0,0,0,0,2022,8,75.66476399999999,9797125,0.7723160008676014,2021/22,0,0
2022-03-07,5-18,1,0.6666666666666671,0,0,0,0.16666666666666666,0.07692307692307693,2022,9,93.90289600000001,9797125,0.9584740013014024,2021/22,7.223299692307694,4.815533128205132
