"date","age_col","age_group","t","weekly_reported","lag_weekly","log_growth"
2022-09-19,"inc_1_1","[0,5)",1,0.158914428324742,NA,0.147483729297742
2022-09-19,"inc_2_1","[5,18)",1,1.72048727158017,NA,1.00081100822684
2022-09-19,"inc_3_1","[18,65)",1,5.270854264072,NA,1.83591259162763
2022-09-19,"inc_4_1","65+",1,1.1435124323795,NA,0.762445807076162
2022-09-26,"inc_1_1","[0,5)",2,0.605392782410382,0.158914428324742,0.325884721587372
2022-09-26,"inc_2_1","[5,18)",2,8.59544843466205,1.72048727158017,1.2604778564265
2022-09-26,"inc_3_1","[18,65)",2,17.5058380178507,5.270854264072,1.08217365920785
2022-09-26,"inc_4_1","65+",2,3.79219613268903,1.1435124323795,0.804542982091611
2022-10-03,"inc_1_1","[0,5)",3,2.21292749211693,0.605392782410382,0.693814061959086
2022-10-03,"inc_2_1","[5,18)",3,33.7652228471485,8.59544843466205,1.28732867897773
2022-10-03,"inc_3_1","[18,65)",3,62.5722225037703,17.5058380178507,1.23409037102082
2022-10-03,"inc_4_1","65+",3,13.4241112359167,3.79219613268903,1.10191240856684
2022-10-10,"inc_1_1","[0,5)",4,8.16161726227119,2.21292749211693,1.04784020727399
2022-10-10,"inc_2_1","[5,18)",4,125.760078009685,33.7652228471485,1.29367860660393
2022-10-10,"inc_3_1","[18,65)",4,230.444371575178,62.5722225037703,1.2921629272228
2022-10-10,"inc_4_1","65+",4,49.4078611752149,13.4241112359167,1.25124594087847
2022-10-17,"inc_1_1","[0,5)",5,25.4968789890407,8.16161726227119,1.06200423193962
2022-10-17,"inc_2_1","[5,18)",5,337.270245399478,125.760078009685,0.981548968386108
2022-10-17,"inc_3_1","[18,65)",5,756.429762297879,230.444371575178,1.18559126096628
2022-10-17,"inc_4_1","65+",5,170.553075816219,49.4078611752149,1.22474556009181
2022-10-24,"inc_1_1","[0,5)",6,41.5657299232713,25.4968789890407,0.474022515569362
2022-10-24,"inc_2_1","[5,18)",6,362.391265499919,337.270245399478,0.0716350015538074
2022-10-24,"inc_3_1","[18,65)",6,1394.03166810474,756.429762297879,0.610741585102775
2022-10-24,"inc_4_1","65+",6,348.77914350171,170.553075816219,0.71240923803601
2022-10-31,"inc_1_1","[0,5)",7,90.2911773152583,41.5657299232713,0.763004681298451
2022-10-31,"inc_2_1","[5,18)",7,1082.61389490232,362.391265499919,1.09257681286108
2022-10-31,"inc_3_1","[18,65)",7,2746.55324647713,1394.03166810474,0.677793670915315
2022-10-31,"inc_4_1","65+",7,646.115275947744,348.77914350171,0.615222511824304
2022-11-07,"inc_1_1","[0,5)",8,159.638818116485,90.2911773152583,0.565104330208075
2022-11-07,"inc_2_1","[5,18)",8,1853.48436698176,1082.61389490232,0.537305034082845
2022-11-07,"inc_3_1","[18,65)",8,4971.47698065346,2746.55324647713,0.593207315323321
2022-11-07,"inc_4_1","65+",8,1218.24651013636,646.115275947744,0.633463883717274
2022-11-14,"inc_1_1","[0,5)",9,164.862246407299,159.638818116485,0.0319991237943791
