"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1N1)pdm09","A (H3)","A not subtyped"
"771","United Kingdom, England","Sentinel","2021-01",2021-01-04,296,0,296,0,0,0
"772","United Kingdom, England","Sentinel","2021-02",2021-01-11,409,0,409,0,0,0
"773","United Kingdom, England","Sentinel","2021-03",2021-01-18,320,0,320,0,0,0
"774","United Kingdom, England","Sentinel","2021-04",2021-01-25,219,0,219,0,0,0
"775","United Kingdom, England","Sentinel","2021-05",2021-02-01,219,0,219,0,0,0
"776","United Kingdom, England","Sentinel","2021-06",2021-02-08,169,0,169,0,0,0
"777","United Kingdom, England","Sentinel","2021-07",2021-02-15,151,0,151,0,0,0
"778","United Kingdom, England","Sentinel","2021-08",2021-02-22,163,0,163,0,0,0
"779","United Kingdom, England","Sentinel","2021-09",2021-03-01,146,0,146,0,0,0
"780","United Kingdom, England","Sentinel","2021-10",2021-03-08,92,0,92,0,0,0
"781","United Kingdom, England","Sentinel","2021-11",2021-03-15,84,0,84,0,0,0
"782","United Kingdom, England","Sentinel","2021-12",2021-03-22,84,0,84,0,0,0
"783","United Kingdom, England","Sentinel","2021-13",2021-03-29,67,0,67,0,0,0
"784","United Kingdom, England","Sentinel","2021-14",2021-04-05,43,0,43,0,0,0
"785","United Kingdom, England","Sentinel","2021-15",2021-04-12,70,0,70,0,0,0
"786","United Kingdom, England","Sentinel","2021-16",2021-04-19,48,0,48,0,0,0
"787","United Kingdom, England","Sentinel","2021-17",2021-04-26,51,0,51,0,0,0
"788","United Kingdom, England","Sentinel","2021-18",2021-05-03,39,0,39,0,0,0
"789","United Kingdom, England","Sentinel","2021-19",2021-05-10,51,0,51,0,0,0
"790","United Kingdom, England","Sentinel","2021-20",2021-05-17,58,0,58,0,0,0
"791","United Kingdom, England","Sentinel","2021-40",2021-10-04,86,1,85,0,1,0
"792","United Kingdom, England","Sentinel","2021-41",2021-10-11,120,0,120,0,0,0
"793","United Kingdom, England","Sentinel","2021-42",2021-10-18,84,0,84,0,0,0
"794","United Kingdom, England","Sentinel","2021-43",2021-10-25,82,2,80,0,2,0
"795","United Kingdom, England","Sentinel","2021-44",2021-11-01,66,0,66,0,0,0
"796","United Kingdom, England","Sentinel","2021-45",2021-11-08,87,1,86,1,0,0
"797","United Kingdom, England","Sentinel","2021-46",2021-11-15,75,0,74,0,0,0
"798","United Kingdom, England","Sentinel","2021-47",2021-11-22,129,1,128,0,1,0
"799","United Kingdom, England","Sentinel","2021-48",2021-11-29,95,0,95,0,0,0
"800","United Kingdom, England","Sentinel","2021-49",2021-12-06,129,0,128,0,0,0
"801","United Kingdom, England","Sentinel","2021-50",2021-12-13,86,1,85,0,1,0
"802","United Kingdom, England","Sentinel","2021-51",2021-12-20,68,0,68,0,0,0
"803","United Kingdom, England","Sentinel","2021-52",2021-12-27,39,0,39,0,0,0
"804","United Kingdom, England","Sentinel","2022-01",2022-01-03,50,0,50,0,0,0
"805","United Kingdom, England","Sentinel","2022-02",2022-01-10,96,0,96,0,0,0
"806","United Kingdom, England","Sentinel","2022-03",2022-01-17,79,0,79,0,0,0
"807","United Kingdom, England","Sentinel","2022-04",2022-01-24,59,0,59,0,0,0
"808","United Kingdom, England","Sentinel","2022-05",2022-01-31,76,2,74,0,2,0
"809","United Kingdom, England","Sentinel","2022-06",2022-02-07,64,0,64,0,0,0
"810","United Kingdom, England","Sentinel","2022-07",2022-02-14,36,0,36,0,0,0
"811","United Kingdom, England","Sentinel","2022-08",2022-02-21,70,1,69,0,1,0
"812","United Kingdom, England","Sentinel","2022-09",2022-02-28,55,0,55,0,0,0
"813","United Kingdom, England","Sentinel","2022-10",2022-03-07,62,4,58,0,4,0
"814","United Kingdom, England","Sentinel","2022-11",2022-03-14,87,4,83,0,4,0
"815","United Kingdom, England","Sentinel","2022-12",2022-03-21,107,8,99,1,7,0
"816","United Kingdom, England","Sentinel","2022-13",2022-03-28,103,4,98,1,3,0
"817","United Kingdom, England","Sentinel","2022-14",2022-04-04,99,5,94,0,5,0
"818","United Kingdom, England","Sentinel","2022-15",2022-04-11,57,4,53,0,4,0
"819","United Kingdom, England","Sentinel","2022-16",2022-04-18,53,5,48,0,5,0
"820","United Kingdom, England","Sentinel","2022-17",2022-04-25,35,2,33,0,2,0
"821","United Kingdom, England","Sentinel","2022-18",2022-05-02,25,4,21,0,4,0
"822","United Kingdom, England","Sentinel","2022-19",2022-05-09,46,2,44,0,2,0
"823","United Kingdom, England","Sentinel","2022-20",2022-05-16,45,3,42,1,2,0
"824","United Kingdom, England","Sentinel","2022-38",2022-09-19,1,1,0,1,0,0
