"date","age_col","age_group","t","weekly_reported","lag_weekly","log_growth"
2022-09-10,"inc_1_1","[0,5)",1,0.177948016551308,NA,0.163773955691447
2022-09-10,"inc_2_1","[5,18)",1,1.12875606914769,NA,0.755537804028953
2022-09-10,"inc_3_1","[18,65)",1,3.29543844324477,NA,1.45755363247176
2022-09-10,"inc_4_1","65+",1,0.374945775081867,NA,0.318414294036806
2022-09-17,"inc_1_1","[0,5)",2,0.405770317162077,0.177948016551308,0.176811465292792
2022-09-17,"inc_2_1","[5,18)",2,3.41002674637396,1.12875606914769,0.728342950348815
2022-09-17,"inc_3_1","[18,65)",2,6.19174572107404,3.29543844324477,0.515380308270807
2022-09-17,"inc_4_1","65+",2,0.697252152531699,0.374945775081867,0.210596268408701
2022-09-24,"inc_1_1","[0,5)",3,0.855391245839156,0.405770317162077,0.277510167034893
2022-09-24,"inc_2_1","[5,18)",3,7.91992393905074,3.41002674637396,0.704406665165546
2022-09-24,"inc_3_1","[18,65)",3,12.5674353540173,6.19174572107404,0.634738521434028
2022-09-24,"inc_4_1","65+",3,1.39615542955019,0.697252152531699,0.344854986133662
2022-10-01,"inc_1_1","[0,5)",4,1.85215035810441,0.855391245839156,0.429977633376217
2022-10-01,"inc_2_1","[5,18)",4,17.6096015899625,7.91992393905074,0.735390242497079
2022-10-01,"inc_3_1","[18,65)",4,27.0924006741714,12.5674353540173,0.727826638946393
2022-10-01,"inc_4_1","65+",4,2.99784305817273,1.39615542955019,0.511889431644178
2022-10-08,"inc_1_1","[0,5)",5,4.02161624934004,1.85215035810441,0.565678622509567
2022-10-08,"inc_2_1","[5,18)",5,38.4041328485915,17.6096015899625,0.750193043396739
2022-10-08,"inc_3_1","[18,65)",5,58.9223554580809,27.0924006741714,0.757550547361433
2022-10-08,"inc_4_1","65+",5,6.52053599122705,2.99784305817273,0.631882430627557
2022-10-15,"inc_1_1","[0,5)",6,6.88902784485223,4.02161624934004,0.45172106978125
2022-10-15,"inc_2_1","[5,18)",6,55.6490750519597,38.4041328485915,0.363004954488932
2022-10-15,"inc_3_1","[18,65)",6,110.178030261454,58.9223554580809,0.618083144221377
2022-10-15,"inc_4_1","65+",6,13.1879072551769,6.52053599122705,0.634752589189433
2022-10-22,"inc_1_1","[0,5)",7,6.92174093655276,6.88902784485223,0.00413808320564967
2022-10-22,"inc_2_1","[5,18)",7,38.8632341324667,55.6490750519597,-0.351421211140678
2022-10-22,"inc_3_1","[18,65)",7,127.969703865274,110.178030261454,0.148444730315841
2022-10-22,"inc_4_1","65+",7,17.2342425665822,13.1879072551769,0.250911286016351
2022-10-29,"inc_1_1","[0,5)",8,7.72453992502729,6.92174093655276,0.0965287391504671
2022-10-29,"inc_2_1","[5,18)",8,44.9408375189217,38.8632341324667,0.141899979021658
2022-10-29,"inc_3_1","[18,65)",8,140.018611567329,127.969703865274,0.0893143555771103
2022-10-29,"inc_4_1","65+",8,18.6586097137852,17.2342425665822,0.0752141096707165
2022-11-05,"inc_1_1","[0,5)",9,14.0010188223767,7.72453992502729,0.541978384245146
2022-11-05,"inc_2_1","[5,18)",9,115.193221782427,44.9408375189217,0.927900082572254
2022-11-05,"inc_3_1","[18,65)",9,215.298677324276,140.018611567329,0.427768339335906
2022-11-05,"inc_4_1","65+",9,24.8804994793555,18.6586097137852,0.274974373539593
2022-11-12,"inc_1_1","[0,5)",10,25.4816120219238,14.0010188223767,0.56833248588932
2022-11-12,"inc_2_1","[5,18)",10,227.950733365797,115.193221782427,0.678252331888786
2022-11-12,"inc_3_1","[18,65)",10,389.584946333476,215.298677324276,0.590985259912391
2022-11-12,"inc_4_1","65+",10,44.3596785875089,24.8804994793555,0.561133804314097
2022-11-19,"inc_1_1","[0,5)",11,43.2306528455656,25.4816120219238,0.512967445837955
2022-11-19,"inc_2_1","[5,18)",11,383.665489865294,227.950733365797,0.518867256851505
2022-11-19,"inc_3_1","[18,65)",11,679.105851068572,389.584946333476,0.55460297154496
2022-11-19,"inc_4_1","65+",11,78.2190780701734,44.3596785875089,0.557593580955629
2022-11-26,"inc_1_1","[0,5)",12,78.1594844364455,43.2306528455656,0.582046555768254
2022-11-26,"inc_2_1","[5,18)",12,615.173162770771,383.665489865294,0.471153933304477
2022-11-26,"inc_3_1","[18,65)",12,1352.63996852206,679.105851068572,0.688304066596465
