date,Week,Influenza A not subtyped,Influenza A H1N1pdm09,Influenza A H3N2,Influenza B,Percentage testing positive for overall influenza,Year
2023-03-13,11,28,7,7,123,2.2,2023
2023-03-20,12,6,4,9,96,1.6,2023
2023-03-27,13,9,0,1,97,1.6,2023
2023-04-03,14,6,1,0,70,1.6,2023
2023-04-10,15,8,4,0,39,1.1,2023
2023-04-17,16,4,4,2,37,0.9,2023
2023-04-24,17,7,4,1,42,1.1,2023
2023-05-01,18,7,4,0,30,0.9,2023
2023-05-08,19,21,5,2,16,0.9,2023
2023-05-15,20,2,2,0,15,0.4,2023
2023-05-22,21,9,5,3,11,0.7,2023
2023-05-29,22,6,2,4,3,0.4,2023
2023-06-05,23,10,1,3,3,0.5,2023
2023-06-12,24,9,1,2,3,0.5,2023
2023-06-19,25,7,4,3,5,0.6,2023
2023-06-26,26,3,3,4,2,0.4,2023
2023-07-03,27,7,6,6,2,0.7,2023
2023-07-10,28,8,5,5,2,0.7,2023
2023-07-17,29,4,6,11,5,0.9,2023
2023-07-24,30,4,5,13,4,0.8,2023
2023-07-31,31,5,1,9,2,0.5,2023
2023-08-07,32,30,2,5,7,1.1,2023
2023-08-14,33,8,5,5,3,0.6,2023
2023-08-21,34,10,3,7,7,0.8,2023
2023-08-28,35,7,4,8,1,0.7,2023
2023-09-04,36,18,3,12,4,1,2023
2023-09-11,37,28,4,12,6,1.3,2023
2023-09-18,38,17,5,14,4,0.9,2023
2023-09-25,39,8,6,7,5,0.6,2023
2023-10-02,40,15,14,13,7,1.1,2023
2023-10-09,41,24,8,10,16,1.1,2023
2023-10-16,42,22,14,18,14,1,2023
2023-10-23,43,28,7,22,14,1.1,2023
2023-10-30,44,50,10,23,17,1.6,2023
2023-11-06,45,77,17,41,19,1.9,2023
2023-11-13,46,63,16,46,15,1.7,2023
2023-11-20,47,79,8,55,14,2,2023
2023-11-27,48,102,43,75,11,2.9,2023
2023-12-04,49,249,87,155,15,6.1,2023
2023-12-11,50,437,152,296,21,9.6,2023
2023-12-18,51,685,203,325,28,11.4,2023
2023-12-25,52,739,206,296,24,11.7,2023
2024-01-01,1,572,157,216,26,9.7,2024
2024-01-08,2,571,198,221,24,10,2024
2024-01-15,3,772,354,385,30,13.8,2024
2024-01-22,4,1006,443,503,68,17.6,2024
2024-01-29,5,837,361,492,68,15.4,2024
2024-02-05,6,576,251,375,77,12.9,2024
2024-02-12,7,519,218,299,94,10.9,2024
2024-02-19,8,386,154,207,80,8.3,2024
2024-02-26,9,230,84,145,71,6.3,2024
2024-03-04,10,194,87,124,103,5.8,2024
2024-03-11,11,304,84,146,124,6.5,2024
2024-03-18,12,214,68,93,101,5,2024
2024-03-25,13,167,37,61,74,3.9,2024
2024-04-01,14,121,28,60,70,3.8,2024
2024-04-08,15,82,29,52,47,2.8,2024
2024-04-15,16,55,31,55,42,2.5,2024
2024-04-22,17,60,24,42,54,2.6,2024
2024-04-29,18,72,19,46,50,2.7,2024
2024-05-06,19,31,14,32,47,2.1,2024
2024-05-13,20,22,12,25,32,1.5,2024
2024-05-20,21,11,6,18,20,1.1,2024
2024-05-27,22,8,5,18,9,1,2024
2024-06-03,23,20,6,22,13,1.1,2024
2024-06-10,24,27,3,15,11,1,2024
2024-06-17,25,23,1,21,9,1,2024
2024-06-24,26,12,8,21,3,0.8,2024
2024-07-01,27,14,7,13,9,0.8,2024
2024-07-08,28,43,5,22,5,1.4,2024
2024-07-15,29,24,10,43,10,1.5,2024
2024-07-22,30,22,5,37,13,1.4,2024
2024-07-29,31,22,7,43,8,1.5,2024
2024-08-05,32,11,1,39,2,1.1,2024
2024-08-12,33,42,6,22,9,1.7,2024
2024-08-19,34,24,9,20,3,1.3,2024
2024-08-26,35,12,10,17,4,1,2024
2024-09-02,36,13,7,29,5,1.3,2024
2024-09-09,37,19,8,24,5,1.3,2024
2024-09-16,38,31,7,35,15,1.6,2024
2024-09-23,39,35,21,34,15,1.8,2024
2024-09-30,40,50,13,40,7,2,2024
2024-10-07,41,55,39,53,19,2.7,2024
2024-10-14,42,65,36,38,9,2.4,2024
2024-10-21,43,110,56,36,23,3.3,2024
2024-10-28,44,84,35,47,18,3.1,2024
2024-11-04,45,92,62,48,15,3.4,2024
2024-11-11,46,110,138,79,17,4.7,2024
2024-11-18,47,236,229,106,28,7.4,2024
2024-11-25,48,327,385,139,38,10.9,2024
2024-12-02,49,475,606,70,35,15.2,2024
2024-12-09,50,798,733,58,68,18.6,2024
2024-12-16,51,1007,899,64,83,22.1,2024
2024-12-23,52,1565,854,82,110,27.8,2024
2024-12-30,1,1119,855,91,145,23.6,2024
2025-01-06,2,630,808,75,155,18.3,2025
2025-01-13,3,578,549,73,236,16,2025
2025-01-20,4,520,381,87,262,14.4,2025
2025-01-27,5,410,310,118,289,13.8,2025
2025-02-03,6,278,238,91,333,12.3,2025
2025-02-10,7,249,151,104,367,11,2025
2025-02-17,8,200,122,111,405,10.7,2025
2025-02-24,9,156,100,78,322,9.6,2025
2025-03-03,10,82,51,61,227,7.6,2025
2025-03-10,11,135,38,90,218,8,2025
2025-03-17,12,150,24,75,231,7.1,2025
2025-03-24,13,122,24,59,232,6.7,2025
2025-03-31,14,120,21,61,139,5.3,2025
2025-04-07,15,87,20,53,100,4.3,2025
2025-04-14,16,78,15,29,85,3.5,2025
2025-04-21,17,44,6,18,44,2.3,2025
