"date","age_col","age_group","t","weekly_reported","lag_weekly","log_growth"
2022-08-10,"inc_1_1","[0,5)",1,0.177983941357622,NA,0.163804453012217
2022-08-10,"inc_2_1","[5,18)",1,1.1288069396329,NA,0.755561700556196
2022-08-10,"inc_3_1","[18,65)",1,3.2962377417519,NA,1.45773969593417
2022-08-10,"inc_4_1","65+",1,0.375253418518956,NA,0.318638018513992
2022-08-17,"inc_1_1","[0,5)",2,0.405895022197349,0.177983941357622,0.176869673433236
2022-08-17,"inc_2_1","[5,18)",2,3.4103448538587,1.1288069396329,0.728391183999143
2022-08-17,"inc_3_1","[18,65)",2,6.19399438175502,3.2962377417519,0.515506868376353
2022-08-17,"inc_4_1","65+",2,0.696252559628247,0.375253418518956,0.209783422644145
2022-08-24,"inc_1_1","[0,5)",3,0.855675589548917,0.405895022197349,0.277574702527253
2022-08-24,"inc_2_1","[5,18)",3,7.92106117293983,3.4103448538587,0.704462020536949
2022-08-24,"inc_3_1","[18,65)",3,12.571973836586,6.19399438175502,0.634760354860265
2022-08-24,"inc_4_1","65+",3,1.39278828689221,0.696252559628247,0.344037892016464
2022-08-31,"inc_1_1","[0,5)",4,1.85277720291926,0.855675589548917,0.430044147997334
2022-08-31,"inc_2_1","[5,18)",4,17.6126195659367,7.92106117293983,0.735424916856196
2022-08-31,"inc_3_1","[18,65)",4,27.1019948469894,12.571973836586,0.727833645645235
2022-08-31,"inc_4_1","65+",4,2.98979537008171,1.39278828689221,0.511280610718208
2022-09-07,"inc_1_1","[0,5)",5,4.02299767176972,1.85277720291926,0.565733924283868
2022-09-07,"inc_2_1","[5,18)",5,38.4112730882475,17.6126195659367,0.750212072422225
2022-09-07,"inc_3_1","[18,65)",5,58.9433371265706,27.1019948469894,0.757559169973357
2022-09-07,"inc_4_1","65+",5,6.50269590396904,2.98979537008171,0.631522465923931
2022-09-14,"inc_1_1","[0,5)",6,8.6055392438637,4.02299767176972,0.648313035385888
2022-09-14,"inc_2_1","[5,18)",6,81.776016529691,38.4112730882475,0.742086469623751
2022-09-14,"inc_3_1","[18,65)",6,126.711775950203,58.9433371265706,0.756376239739107
2022-09-14,"inc_4_1","65+",6,14.0138468553655,6.50269590396904,0.693710489159865
2022-09-21,"inc_1_1","[0,5)",7,17.7314184826589,8.6055392438637,0.667862310139132
2022-09-21,"inc_2_1","[5,18)",7,166.235620059243,81.776016529691,0.703265352598472
2022-09-21,"inc_3_1","[18,65)",7,263.878770935735,126.711775950203,0.729496278620212
2022-09-21,"inc_4_1","65+",7,29.3549630049871,14.0138468553655,0.703987130859771
2022-09-28,"inc_1_1","[0,5)",8,33.8705159674673,17.7314184826589,0.621439410686665
2022-09-28,"inc_2_1","[5,18)",8,308.927669876432,166.235620059243,0.616935230682968
2022-09-28,"inc_3_1","[18,65)",8,514.987515376321,263.878770935735,0.666810317033031
2022-09-28,"inc_4_1","65+",8,57.9750863315188,29.3549630049871,0.664155059322655
2022-10-05,"inc_1_1","[0,5)",9,56.516949734285,33.8705159674673,0.500438024886781
2022-10-05,"inc_2_1","[5,18)",9,490.839014195484,308.927669876432,0.461812508752796
2022-10-05,"inc_3_1","[18,65)",9,893.968138839899,514.987515376321,0.550705548397898
2022-10-05,"inc_4_1","65+",9,102.874245224203,57.9750863315188,0.566065897797194
2022-10-12,"inc_1_1","[0,5)",10,75.0075958306207,56.516949734285,0.27875359807952
2022-10-12,"inc_2_1","[5,18)",10,589.646689102158,490.839014195484,0.183066563834432
2022-10-12,"inc_3_1","[18,65)",10,1276.64320262954,893.968138839899,0.355984293207755
2022-10-12,"inc_4_1","65+",10,154.254068636231,102.874245224203,0.401881940510625
2022-10-19,"inc_1_1","[0,5)",11,55.4759497193916,75.0075958306207,-0.297018401585465
2022-10-19,"inc_2_1","[5,18)",11,287.176748892188,589.646689102158,-0.71764401653982
2022-10-19,"inc_3_1","[18,65)",11,1136.19653205729,1276.64320262954,-0.116451081560305
2022-10-19,"inc_4_1","65+",11,161.824719704284,154.254068636231,0.0476113555103292
2022-10-26,"inc_1_1","[0,5)",12,36.3158177704918,55.4759497193916,-0.41439757317448
2022-10-26,"inc_2_1","[5,18)",12,167.375192665862,287.176748892188,-0.537379224326994
2022-10-26,"inc_3_1","[18,65)",12,806.804272822443,1136.19653205729,-0.342001537655896
2022-10-26,"inc_4_1","65+",12,121.567078897467,161.824719704284,-0.284015820024708
2022-11-02,"inc_1_1","[0,5)",13,29.7189318006876,36.3158177704918,-0.194538170110075
2022-11-02,"inc_2_1","[5,18)",13,174.748508552562,167.375192665862,0.0428592654710391
2022-11-02,"inc_3_1","[18,65)",13,625.374917724021,806.804272822443,-0.254370690643893
2022-11-02,"inc_4_1","65+",13,87.9459122464701,121.567078897467,-0.320630005529334
2022-11-09,"inc_1_1","[0,5)",14,26.235917191647,29.7189318006876,-0.12034254834646
2022-11-09,"inc_2_1","[5,18)",14,179.295492703568,174.748508552562,0.0255430865584932
2022-11-09,"inc_3_1","[18,65)",14,541.700183697355,625.374917724021,-0.143392082370139
2022-11-09,"inc_4_1","65+",14,73.3087128522801,87.9459122464701,-0.179800246729572
2022-11-16,"inc_1_1","[0,5)",15,21.306407184539,26.235917191647,-0.199662632324834
2022-11-16,"inc_2_1","[5,18)",15,149.172027841919,179.295492703568,-0.182815641782833
2022-11-16,"inc_3_1","[18,65)",15,450.819891210019,541.700183697355,-0.183273389909787
2022-11-16,"inc_4_1","65+",15,61.5924580488514,73.3087128522801,-0.171583418298477
