Year,Week,date,age_group,ILI,ILI_per_100k,flu_samples,prop_flu,smooth_total_samples,smooth_flu_samples,smooth_prop,ILI_flu
2022,29,2022-07-24,0-4,15.361215,0.5,0,0,16.99166666666667,0.32366666666668314,0.019048553212359966,0.29260892133400207
2022,30,2022-07-31,0-4,12.288972000000001,0.4000000000000001,0.971,0.046260123868508814,16.292000000000005,0.32366666666668314,0.01986660119486147,0.24414010581881915
2022,31,2022-08-07,0-4,9.216728999999999,0.3,0,0,16.09233333333334,0.32366666666668314,0.020113097334135282,0.18537696747934732
2022,32,2022-08-14,0-4,9.216728999999999,0.3,0,0,11.094666666666674,1.650531563276066e-14,1.4876801736053944e-15,1.3711544998793871e-14
2022,33,2022-08-21,0-4,6.144486000000001,0.20000000000000004,0,0,9.895000000000007,1.650531563276066e-14,1.6680460467671195e-15,1.0249285581715913e-14
2022,34,2022-08-28,0-4,6.144486000000001,0.20000000000000004,0,0,6.296666666666673,1.650531563276066e-14,2.621278290009631e-15,1.6106407755068118e-14
2022,35,2022-09-04,0-4,6.144486000000001,0.20000000000000004,0,0,5.597000000000006,0.5393333333333499,0.09636114585194736,0.5920897116312487
2022,36,2022-09-11,0-4,6.144486000000001,0.20000000000000004,1.618,0.41508465879938433,8.795666666666675,0.7550000000000164,0.08583772312123573,0.5274286879903093
2022,37,2022-09-18,0-4,30.72243,1,0.647,0.03853025250119104,8.895666666666674,1.29433333333335,0.14550155506426524,4.470161340353034
2022,38,2022-09-25,0-4,24.577944000000002,0.8000000000000002,1.618,0.2698015674503919,15.29233333333334,1.9416666666666833,0.12696994136495515,3.1206601085511516
2022,39,2022-10-02,0-4,27.650187000000003,0.9,3.56,0.15419265419265418,20.589666666666673,3.6676666666666833,0.17813142514853805,4.92536721593358
2022,40,2022-10-09,0-4,58.372617,1.9000000000000001,5.825,0.17822175988251135,27.486333333333338,3.12833333333335,0.11381413793521687,6.6436290828775855
2022,41,2022-10-16,0-4,67.589346,2.2,0,0,32.784000000000006,3.12833333333335,0.09542256385228616,6.449548684419263
2022,42,2022-10-23,0-4,86.022804,2.7999999999999994,3.56,0.0913265437007773,38.58100000000001,3.7756666666666834,0.09786336970702372,8.418481471086839
2022,43,2022-10-30,0-4,98.31177600000001,3.2000000000000006,7.767,0.15510733899151272,48.376000000000005,5.070000000000017,0.10480403505870714,10.303470818587764
2022,44,2022-11-06,0-4,82.950561,2.6999999999999997,3.883,0.06925024967898416,59.37033333333334,5.177666666666684,0.08720966139093066,7.234090336997737
2022,45,2022-11-13,0-4,116.745234,3.8000000000000003,3.883,0.05395753432271692,66.66666666666667,12.836666666666682,0.19255000000000022,22.479294806700025
2022,46,2022-11-20,0-4,215.05701000000002,7.000000000000001,30.744,0.4272136068034017,71.26433333333334,19.740666666666684,0.27700626306754683,59.572138686580054
2022,47,2022-11-27,0-4,254.996169,8.3,24.595,0.35203606956272815,71.26433333333334,36.030000000000015,0.5055825027012112,128.92160130224102
2022,48,2022-12-04,0-4,390.17486099999996,12.699999999999998,52.751,0.7330192874214885,97.35133333333333,32.686000000000014,0.3357529771891501,131.0023712051128
2022,49,2022-12-11,0-4,605.231871,19.7,20.712,0.13787319021467798,122.53866666666666,27.724000000000018,0.22624695334261855,136.93186687960272
2022,50,2022-12-18,0-4,817.216638,26.599999999999998,9.709,0.06676201805716958,167.01633333333334,11.758333333333352,0.07040229598302772,57.533927630730815
2022,51,2022-12-25,0-4,890.9504700000001,29.000000000000004,4.854,0.02363228284736389,144.62733333333333,5.717333333333351,0.039531485519104397,35.22059560304426
2022,52,2023-01-01,0-4,399.39159,13,2.589,0.031170988947482478,110.14466666666668,2.481000000000018,0.02252492176955172,8.996264320166876
2023,1,2023-01-08,0-4,685.110189,22.3,0,0,56.271666666666675,0.8630000000000182,0.015336314900927371,10.507065600337867
2023,2,2023-01-15,0-4,417.825048,13.6,0,0,45.57733333333334,1.8207657603852567e-14,3.9948931348592643e-16,1.6691664158274425e-13
2023,3,2023-01-22,0-4,251.923926,8.2,0,0,50.57500000000001,1.8207657603852567e-14,3.6001300254775213e-16,9.069588901287772e-14
2023,4,2023-01-29,0-4,193.551309,6.3,0,0,55.972333333333346,0.21566666666668488,0.0038530940881510182,0.745771404461791
2023,5,2023-02-05,0-4,196.62355200000002,6.400000000000001,0.647,0.010788727697181925,57.671333333333344,0.7550000000000182,0.013091426127365729,2.5740827059082543
2023,6,2023-02-12,0-4,218.12925299999998,7.099999999999999,1.618,0.028855756884006278,57.671333333333344,0.7550000000000182,0.013091426127365729,2.855623001866969
2023,7,2023-02-19,0-4,190.479066,6.199999999999999,0,0,54.67300000000001,0.5393333333333515,0.009864710795700829,1.8790208987252106
2023,8,2023-02-26,0-4,172.045608,5.599999999999999,0,0,49.27566666666667,0.21566666666668488,0.004376737673091212,0.7529984940234827
2023,9,2023-03-05,0-4,162.82887899999997,5.299999999999999,0.647,0.016223671013039117,41.579333333333345,0.43133333333335155,0.010373743366095771,1.6891450033350608
2023,10,2023-03-12,0-4,156.684393,5.1000000000000005,0.647,0.01909512144733347,44.57766666666668,0.6470000000000182,0.01451399430207992,2.274116387226851
2023,11,2023-03-19,0-4,165.901122,5.3999999999999995,0.647,0.010788727697181925,50.27500000000001,0.6470000000000182,0.012869219293884,2.1350179201194033
2023,12,2023-03-26,0-4,153.61214999999999,4.999999999999999,0.647,0.011356455802850524,59.570333333333345,0.43133333333335155,0.007240740637118333,1.1122657368601168
2023,13,2023-04-02,0-4,135.178692,4.4,0,0,54.573000000000015,0.21566666666668488,0.003951893182831892,0.5342117513789321
2023,14,2023-04-09,0-4,79.87831800000001,2.6,0,0,48.87566666666669,1.8207657603852567e-14,3.725301125410578e-16,2.975707879413041e-14
2023,15,2023-04-16,0-4,82.950561,2.6999999999999997,0,0,42.57900000000002,1.8207657603852567e-14,4.276206017955461e-16,3.5471368814098155e-14
2023,16,2023-04-23,0-4,92.16729,3,0,0,36.18200000000002,1.8207657603852567e-14,5.032241889296488e-16,4.638080975609373e-14
2023,17,2023-04-30,0-4,67.589346,2.2,0,0,29.085666666666686,1.8207657603852567e-14,6.260010407366477e-16,4.231100093870938e-14
2023,18,2023-05-07,0-4,55.300374000000005,1.8,0,0,20.98966666666669,1.8207657603852567e-14,8.674581589600858e-16,4.79707606198442e-14
2023,19,2023-05-14,0-4,24.577944000000002,0.8000000000000002,0,0,23.38866666666669,1.8207657603852567e-14,7.784820684028967e-16,1.9133488682210564e-14
2023,20,2023-05-21,0-4,36.866915999999996,1.2,0,0,28.486000000000022,1.8207657603852567e-14,6.391791618287072e-16,2.3564564468089353e-14
2023,21,2023-05-28,0-4,24.577944000000002,0.8000000000000002,0,0,29.585333333333356,1.8207657603852567e-14,6.154285097521031e-16,1.5125967448690645e-14
2022,22,2022-06-05,5-18,40.646051,0.4148773339117343,0.35,0.35,6.451666666666654,0.11666666666667842,0.018083182640146522,0.7350099638337102
2022,23,2022-06-12,5-18,91.08922700000001,0.9297546678234687,0,0,3.3556666666666537,0.11666666666667842,0.034767060693358165,3.1669046836200794
2022,24,2022-06-19,5-18,132.98996300000002,1.3574386669558673,0,0,5.92233333333332,1.176836406102666e-14,1.9871161244487004e-15,2.642664998671361e-13
2022,25,2022-06-26,5-18,65.86763900000001,0.6723160008676016,0,0,9.318333333333321,1.176836406102666e-14,1.2629258516573074e-15,8.318594408073109e-14
2022,26,2022-07-03,5-18,130.17629399999998,1.3287193334779335,0,0,10.396333333333322,1.176836406102666e-14,1.1319725602962587e-15,1.473559928090585e-13
2022,27,2022-07-10,5-18,99.53023400000001,1.0159126682572694,0,0,10.391999999999989,1.176836406102666e-14,1.1324445786207344e-15,1.1271247390215309e-13
2022,28,2022-07-17,5-18,77.020882,0.7861580004338008,0,0,8.068999999999988,1.176836406102666e-14,1.4584662363399028e-15,1.1233235589011977e-13
