Week_commencing,B,H1N1,H3,A,age_group
24/10/2022,1,4,8,NA,19-64
31/10/2022,NA,4,9,NA,19-64
07/11/2022,NA,NA,2,NA,19-64
14/11/2022,1,2,7,1,19-64
21/11/2022,1,3,9,NA,19-64
28/11/2022,1,9,14,2,19-64
05/12/2022,3,11,35,11,19-64
12/12/2022,1,17,56,5,19-64
19/12/2022,1,14,97,22,19-64
26/12/2022,7,13,27,2,19-64
02/01/2023,4,2,6,NA,19-64
09/01/2023,3,NA,2,1,19-64
16/01/2023,3,NA,2,NA,19-64
23/01/2023,NA,NA,2,NA,19-64
30/01/2023,2,NA,2,NA,19-64
06/02/2023,7,NA,NA,NA,19-64
13/02/2023,1,NA,NA,NA,19-64
20/02/2023,1,1,NA,NA,19-64
27/02/2023,1,NA,NA,NA,19-64
06/03/2023,3,NA,1,NA,19-64
13/03/2023,1,NA,NA,NA,19-64
20/03/2023,4,NA,NA,NA,19-64
27/03/2023,2,NA,NA,NA,19-64
03/04/2023,4,NA,NA,NA,19-64
10/04/2023,NA,NA,NA,NA,19-64
17/04/2023,NA,NA,NA,NA,19-64
24/04/2023,2,NA,NA,NA,19-64
01/05/2023,NA,NA,NA,NA,19-64
08/05/2023,2,NA,NA,NA,19-64
15/05/2023,NA,NA,NA,NA,19-64
22/05/2023,NA,NA,NA,NA,19-64
29/05/2023,NA,NA,NA,NA,19-64
05/06/2023,NA,NA,NA,NA,19-64
12/06/2023,NA,NA,NA,NA,19-64
19/06/2023,NA,NA,NA,NA,19-64
26/06/2023,NA,1,1,NA,19-64
03/07/2023,NA,NA,NA,NA,19-64
10/07/2023,NA,NA,NA,NA,19-64
17/07/2023,NA,NA,NA,NA,19-64
24/07/2023,NA,NA,NA,NA,19-64
31/07/2023,NA,NA,NA,NA,19-64
07/08/2023,NA,NA,NA,NA,19-64
14/08/2023,NA,NA,NA,NA,19-64
21/08/2023,NA,NA,NA,NA,19-64
28/08/2023,NA,NA,NA,NA,19-64
04/09/2023,NA,NA,NA,NA,19-64
11/09/2023,NA,NA,NA,NA,19-64
18/09/2023,NA,NA,NA,NA,19-64
25/09/2023,NA,NA,1,NA,19-64
02/10/2023,NA,NA,NA,NA,19-64
