date,H3_sum,flu_pos_sum,Year,Week,Season
2015-10-05,7,31,2015,41,2015/16
2015-10-12,0,18,2015,42,2015/16
2015-10-19,2,16,2015,43,2015/16
2015-10-26,13,21,2015,44,2015/16
2015-11-02,0,20,2015,45,2015/16
2015-11-09,6,23,2015,46,2015/16
2015-11-16,6,24,2015,47,2015/16
2015-11-23,0,23,2015,48,2015/16
2015-11-30,1,40,2015,49,2015/16
2015-12-07,0,37,2015,50,2015/16
2015-12-14,5,98,2015,51,2015/16
2015-12-21,0,108,2015,52,2015/16
2015-12-28,0,131,2015,53,2015/16
2016-01-04,9,235,2016,1,2015/16
2016-01-11,10,204,2016,2,2015/16
2016-01-18,4,259,2016,3,2015/16
2016-01-25,2,485,2016,4,2015/16
2016-02-01,8,547,2016,5,2015/16
2016-02-08,3,531,2016,6,2015/16
2016-02-15,8,590,2016,7,2015/16
2016-02-22,0,612,2016,8,2015/16
2016-02-29,2,677,2016,9,2015/16
2016-03-07,19,735,2016,10,2015/16
2016-03-14,1,1000,2016,11,2015/16
2016-03-21,36,786,2016,12,2015/16
2016-03-28,4,741,2016,13,2015/16
2016-04-04,0,519,2016,14,2015/16
2016-04-11,2,431,2016,15,2015/16
2016-04-18,29,232,2016,16,2015/16
2016-04-25,46,192,2016,17,2015/16
2016-05-02,0,159,2016,18,2015/16
2016-05-09,38,114,2016,19,2015/16
2016-05-16,0,64,2016,20,2015/16
2016-05-23,0,30,2016,21,2015/16
2016-05-30,0,23,2016,22,2015/16
2016-10-03,5,14,2016,40,2016/17
2016-10-10,8,10,2016,41,2016/17
2016-10-17,0,14,2016,42,2016/17
2016-10-24,9,10,2016,43,2016/17
2016-10-31,17,21,2016,44,2016/17
2016-11-07,20,22,2016,45,2016/17
2016-11-14,46,50,2016,46,2016/17
2016-11-21,26,27,2016,47,2016/17
2016-11-28,61,63,2016,48,2016/17
2016-12-05,140,147,2016,49,2016/17
2016-12-12,235,243,2016,50,2016/17
2016-12-19,386,414,2016,51,2016/17
2016-12-26,432,441,2016,52,2016/17
2017-01-02,680,688,2017,1,2016/17
2017-01-09,922,949,2017,2,2016/17
2017-01-16,717,728,2017,3,2016/17
2017-01-23,806,828,2017,4,2016/17
2017-01-30,768,866,2017,5,2016/17
2017-02-06,524,602,2017,6,2016/17
2017-02-13,376,400,2017,7,2016/17
2017-02-20,429,457,2017,8,2016/17
2017-02-27,303,329,2017,9,2016/17
2017-03-06,131,166,2017,10,2016/17
2017-03-13,83,98,2017,11,2016/17
2017-03-20,63,81,2017,12,2016/17
2017-03-27,34,68,2017,13,2016/17
2017-04-03,38,64,2017,14,2016/17
2017-04-10,0,38,2017,15,2016/17
2017-04-17,16,41,2017,16,2016/17
2017-04-24,18,49,2017,17,2016/17
2017-05-01,0,36,2017,18,2016/17
2017-05-08,0,36,2017,19,2016/17
2017-05-15,0,49,2017,20,2016/17
2017-10-02,8,34,2017,40,2017/18
2017-10-09,16,36,2017,41,2017/18
2017-10-16,16,22,2017,42,2017/18
2017-10-23,19,24,2017,43,2017/18
2017-10-30,20,26,2017,44,2017/18
2017-11-06,22,35,2017,45,2017/18
2017-11-13,30,54,2017,46,2017/18
2017-11-20,14,84,2017,47,2017/18
2017-11-27,27,78,2017,48,2017/18
2017-12-04,33,175,2017,49,2017/18
2017-12-11,58,310,2017,50,2017/18
2017-12-18,146,813,2017,51,2017/18
2017-12-25,261,1117,2017,52,2017/18
2018-01-01,308,2034,2018,1,2017/18
2018-01-08,213,2387,2018,2,2017/18
2018-01-15,410,2426,2018,3,2017/18
2018-01-22,607,2510,2018,4,2017/18
2018-01-29,227,2230,2018,5,2017/18
2018-02-05,308,1826,2018,6,2017/18
2018-02-12,705,1958,2018,7,2017/18
2018-02-19,877,2540,2018,8,2017/18
2018-02-26,567,1686,2018,9,2017/18
2018-03-05,302,2052,2018,10,2017/18
2018-03-12,644,1703,2018,11,2017/18
2018-03-19,559,1327,2018,12,2017/18
2018-03-26,586,1007,2018,13,2017/18
2018-04-02,493,846,2018,14,2017/18
2018-04-09,290,594,2018,15,2017/18
2018-04-16,109,283,2018,16,2017/18
2018-04-23,55,117,2018,17,2017/18
2018-04-30,0,68,2018,18,2017/18
2018-05-07,0,61,2018,19,2017/18
2018-05-14,0,44,2018,20,2017/18
2018-05-28,0,0,2018,22,2017/18
2018-06-18,0,0,2018,25,2017/18
2018-10-01,0,17,2018,40,2018/19
2018-10-08,0,18,2018,41,2018/19
2018-10-15,0,23,2018,42,2018/19
2018-10-22,30,42,2018,43,2018/19
2018-10-29,0,48,2018,44,2018/19
2018-11-05,7,86,2018,45,2018/19
2018-11-12,2,96,2018,46,2018/19
2018-11-19,1,111,2018,47,2018/19
2018-11-26,35,166,2018,48,2018/19
2018-12-03,13,215,2018,49,2018/19
2018-12-10,0,284,2018,50,2018/19
2018-12-17,3,579,2018,51,2018/19
2018-12-24,1,744,2018,52,2018/19
2018-12-31,67,1328,2018,1,2018/19
2019-01-07,79,1906,2019,2,2018/19
2019-01-14,143,1875,2019,3,2018/19
2019-01-21,217,2191,2019,4,2018/19
2019-01-28,466,2491,2019,5,2018/19
2019-02-04,926,2787,2019,6,2018/19
2019-02-11,919,2955,2019,7,2018/19
2019-02-18,658,2073,2019,8,2018/19
2019-02-25,742,1336,2019,9,2018/19
2019-03-04,450,913,2019,10,2018/19
2019-03-11,279,681,2019,11,2018/19
2019-03-18,426,703,2019,12,2018/19
2019-03-25,446,511,2019,13,2018/19
2019-04-01,418,435,2019,14,2018/19
2019-04-08,417,428,2019,15,2018/19
2019-04-15,156,320,2019,16,2018/19
2019-04-22,321,334,2019,17,2018/19
2019-04-29,137,195,2019,18,2018/19
2019-05-06,86,92,2019,19,2018/19
2019-05-13,75,86,2019,20,2018/19
2019-09-30,64,88,2019,40,2019/20
2019-10-07,53,116,2019,41,2019/20
2019-10-14,74,116,2019,42,2019/20
2019-10-21,157,196,2019,43,2019/20
2019-10-28,217,258,2019,44,2019/20
2019-11-04,166,208,2019,45,2019/20
2019-11-11,243,263,2019,46,2019/20
2019-11-18,559,590,2019,47,2019/20
2019-11-25,1095,1175,2019,48,2019/20
2019-12-30,2180,2639,2019,1,2019/20
2020-01-06,1378,1728,2020,2,2019/20
2020-01-13,437,955,2020,3,2019/20
2020-01-20,399,603,2020,4,2019/20
2020-01-27,249,618,2020,5,2019/20
2020-02-03,146,530,2020,6,2019/20
2020-02-10,81,543,2020,7,2019/20
2020-02-17,295,532,2020,8,2019/20
2020-02-24,32,550,2020,9,2019/20
2020-03-02,101,541,2020,10,2019/20
2020-03-09,134,396,2020,11,2019/20
2020-03-16,0,405,2020,12,2019/20
2020-03-23,53,157,2020,13,2019/20
