"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1)","A (H1N1)pdm09","A (H3)","A not subtyped","B (Victoria)","B (Yamagata)","B (lineage not determined)"
"1359","United Kingdom, England","Sentinel","2019-15",2019-04-08,1,0,1,0,0,0,0,0,0,0
"1360","United Kingdom, England","Sentinel","2019-16",2019-04-15,7,0,7,0,0,0,0,0,0,0
"1361","United Kingdom, England","Sentinel","2019-17",2019-04-22,6,0,6,0,0,0,0,0,0,0
"1362","United Kingdom, England","Sentinel","2019-18",2019-04-29,7,0,7,0,0,0,0,0,0,0
"1363","United Kingdom, England","Sentinel","2019-19",2019-05-06,0,0,0,0,0,0,0,0,0,0
"1364","United Kingdom, England","Sentinel","2019-20",2019-05-13,1,0,1,0,0,0,0,0,0,0
"1365","United Kingdom, England","Sentinel","2019-40",2019-09-30,0,0,0,0,0,0,0,0,0,0
"1366","United Kingdom, England","Sentinel","2019-41",2019-10-07,79,2,77,0,2,0,0,0,0,0
"1367","United Kingdom, England","Sentinel","2019-42",2019-10-14,118,4,114,0,0,4,0,0,0,0
"1368","United Kingdom, England","Sentinel","2019-43",2019-10-21,241,10,231,0,2,8,0,0,0,0
"1369","United Kingdom, England","Sentinel","2019-44",2019-10-28,267,9,258,0,0,9,0,0,0,0
"1370","United Kingdom, England","Sentinel","2019-45",2019-11-04,138,10,128,0,1,9,0,0,0,0
"1371","United Kingdom, England","Sentinel","2019-46",2019-11-11,138,14,124,0,2,11,0,0,0,1
"1372","United Kingdom, England","Sentinel","2019-47",2019-11-18,151,36,115,0,2,32,0,0,0,2
"1373","United Kingdom, England","Sentinel","2019-48",2019-11-25,161,25,136,0,0,25,0,0,0,0
"1374","United Kingdom, England","Sentinel","2020-01",2019-12-30,201,80,121,0,10,68,0,NA,NA,2
"1375","United Kingdom, England","Sentinel","2020-02",2020-01-06,204,50,154,0,6,42,0,NA,NA,2
"1376","United Kingdom, England","Sentinel","2020-03",2020-01-13,139,25,114,0,10,14,0,NA,NA,1
"1377","United Kingdom, England","Sentinel","2020-04",2020-01-20,89,16,73,0,8,4,0,NA,NA,4
"1378","United Kingdom, England","Sentinel","2020-05",2020-01-27,143,19,124,0,7,6,0,NA,NA,6
"1379","United Kingdom, England","Sentinel","2020-06",2020-02-03,157,28,129,0,7,8,0,NA,NA,13
"1380","United Kingdom, England","Sentinel","2020-07",2020-02-10,133,22,111,0,6,5,0,NA,NA,11
"1381","United Kingdom, England","Sentinel","2020-08",2020-02-17,81,5,76,0,1,3,0,NA,NA,1
"1382","United Kingdom, England","Sentinel","2020-09",2020-02-24,113,13,100,0,7,0,0,NA,NA,6
"1383","United Kingdom, England","Sentinel","2020-10",2020-03-02,245,21,224,0,11,2,0,NA,NA,8
"1384","United Kingdom, England","Sentinel","2020-11",2020-03-09,351,23,328,0,7,4,0,NA,NA,12
"1385","United Kingdom, England","Sentinel","2020-12",2020-03-16,253,10,243,0,4,0,0,NA,NA,6
"1386","United Kingdom, England","Sentinel","2020-13",2020-03-23,214,2,212,0,1,0,0,NA,NA,1
"1387","United Kingdom, England","Sentinel","2020-14",2020-03-30,143,1,142,0,1,0,0,NA,NA,0
"1388","United Kingdom, England","Sentinel","2020-15",2020-04-06,0,0,0,0,0,0,0,NA,NA,0
"1389","United Kingdom, England","Sentinel","2020-16",2020-04-13,0,0,0,0,0,0,0,NA,NA,0
"1390","United Kingdom, England","Sentinel","2020-17",2020-04-20,0,0,0,0,0,0,0,NA,NA,0
"1391","United Kingdom, England","Sentinel","2020-18",2020-04-27,0,0,0,0,0,0,0,NA,NA,0
"1392","United Kingdom, England","Sentinel","2020-19",2020-05-04,0,0,0,0,0,0,0,NA,NA,0
"1393","United Kingdom, England","Sentinel","2020-20",2020-05-11,0,0,0,0,0,0,0,NA,NA,0
"1394","United Kingdom, England","Sentinel","2020-40",2020-09-28,217,0,217,0,0,0,0,0,0,0
"1395","United Kingdom, England","Sentinel","2020-41",2020-10-05,221,0,221,0,0,0,0,0,0,0
"1396","United Kingdom, England","Sentinel","2020-42",2020-10-12,248,0,248,0,0,0,0,0,0,0
"1397","United Kingdom, England","Sentinel","2020-43",2020-10-19,276,0,276,0,0,0,0,0,0,0
"1398","United Kingdom, England","Sentinel","2020-44",2020-10-26,272,0,272,0,0,0,0,0,0,0
"1399","United Kingdom, England","Sentinel","2020-45",2020-11-02,295,0,295,0,0,0,0,0,0,0
"1400","United Kingdom, England","Sentinel","2020-46",2020-11-09,338,0,338,0,0,0,0,0,0,0
"1401","United Kingdom, England","Sentinel","2020-47",2020-11-16,382,0,382,0,0,0,0,0,0,0
"1402","United Kingdom, England","Sentinel","2020-48",2020-11-23,246,0,246,0,0,0,0,0,0,0
"1403","United Kingdom, England","Sentinel","2020-49",2020-11-30,203,0,203,0,0,0,0,0,0,0
"1404","United Kingdom, England","Sentinel","2020-50",2020-12-07,267,0,267,0,0,0,0,0,0,0
"1405","United Kingdom, England","Sentinel","2020-51",2020-12-14,290,0,290,0,0,0,0,0,0,0
"1406","United Kingdom, England","Sentinel","2020-52",2020-12-21,156,0,156,0,0,0,0,0,0,0
"1407","United Kingdom, England","Sentinel","2020-53",2020-12-28,96,0,96,0,0,0,0,0,0,0
"1408","United Kingdom, England","Sentinel","2021-01",2021-01-04,296,0,296,0,0,0,0,0,0,0
"1409","United Kingdom, England","Sentinel","2021-02",2021-01-11,409,0,409,0,0,0,0,0,0,0
"1410","United Kingdom, England","Sentinel","2021-03",2021-01-18,320,0,320,0,0,0,0,0,0,0
"1411","United Kingdom, England","Sentinel","2021-04",2021-01-25,219,0,219,0,0,0,0,0,0,0
"1412","United Kingdom, England","Sentinel","2021-05",2021-02-01,219,0,219,0,0,0,0,0,0,0
"1413","United Kingdom, England","Sentinel","2021-06",2021-02-08,169,0,169,0,0,0,0,0,0,0
"1414","United Kingdom, England","Sentinel","2021-07",2021-02-15,151,0,151,0,0,0,0,0,0,0
"1415","United Kingdom, England","Sentinel","2021-08",2021-02-22,163,0,163,0,0,0,0,0,0,0
"1416","United Kingdom, England","Sentinel","2021-09",2021-03-01,146,0,146,0,0,0,0,0,0,0
"1417","United Kingdom, England","Sentinel","2021-10",2021-03-08,92,0,92,0,0,0,0,0,0,0
"1418","United Kingdom, England","Sentinel","2021-11",2021-03-15,84,0,84,0,0,0,0,0,0,0
"1419","United Kingdom, England","Sentinel","2021-12",2021-03-22,84,0,84,0,0,0,0,0,0,0
"1420","United Kingdom, England","Sentinel","2021-13",2021-03-29,67,0,67,0,0,0,0,0,0,0
"1421","United Kingdom, England","Sentinel","2021-14",2021-04-05,43,0,43,0,0,0,0,0,0,0
"1422","United Kingdom, England","Sentinel","2021-15",2021-04-12,70,0,70,0,0,0,0,0,0,0
"1423","United Kingdom, England","Sentinel","2021-16",2021-04-19,48,0,48,0,0,0,0,0,0,0
"1424","United Kingdom, England","Sentinel","2021-17",2021-04-26,51,0,51,0,0,0,0,0,0,0
"1425","United Kingdom, England","Sentinel","2021-18",2021-05-03,39,0,39,0,0,0,0,0,0,0
"1426","United Kingdom, England","Sentinel","2021-19",2021-05-10,51,0,51,0,0,0,0,0,0,0
"1427","United Kingdom, England","Sentinel","2021-20",2021-05-17,58,0,58,0,0,0,0,0,0,0
"1428","United Kingdom, England","Sentinel","2021-40",2021-10-04,86,1,85,0,0,1,0,NA,NA,0
"1429","United Kingdom, England","Sentinel","2021-41",2021-10-11,120,0,120,0,0,0,0,NA,NA,0
"1430","United Kingdom, England","Sentinel","2021-42",2021-10-18,84,0,84,0,0,0,0,NA,NA,0
"1431","United Kingdom, England","Sentinel","2021-43",2021-10-25,82,2,80,0,0,2,0,NA,NA,0
"1432","United Kingdom, England","Sentinel","2021-44",2021-11-01,66,0,66,0,0,0,0,NA,NA,0
"1433","United Kingdom, England","Sentinel","2021-45",2021-11-08,87,1,86,0,1,0,0,NA,NA,0
"1434","United Kingdom, England","Sentinel","2021-46",2021-11-15,75,1,74,0,0,0,0,NA,NA,1
"1435","United Kingdom, England","Sentinel","2021-47",2021-11-22,129,1,128,0,0,1,0,NA,NA,0
"1436","United Kingdom, England","Sentinel","2021-48",2021-11-29,95,0,95,0,0,0,0,NA,NA,0
"1437","United Kingdom, England","Sentinel","2021-49",2021-12-06,129,1,128,0,0,0,0,NA,NA,1
"1438","United Kingdom, England","Sentinel","2021-50",2021-12-13,86,1,85,0,0,1,0,NA,NA,0
"1439","United Kingdom, England","Sentinel","2021-51",2021-12-20,68,0,68,0,0,0,0,NA,NA,0
"1440","United Kingdom, England","Sentinel","2021-52",2021-12-27,39,0,39,0,0,0,0,NA,NA,0
"1441","United Kingdom, England","Sentinel","2022-01",2022-01-03,50,0,50,0,0,0,0,NA,NA,0
"1442","United Kingdom, England","Sentinel","2022-02",2022-01-10,96,0,96,0,0,0,0,NA,NA,0
"1443","United Kingdom, England","Sentinel","2022-03",2022-01-17,79,0,79,0,0,0,0,NA,NA,0
"1444","United Kingdom, England","Sentinel","2022-04",2022-01-24,59,0,59,0,0,0,0,NA,NA,0
"1445","United Kingdom, England","Sentinel","2022-05",2022-01-31,76,2,74,0,0,2,0,NA,NA,0
"1446","United Kingdom, England","Sentinel","2022-06",2022-02-07,64,0,64,0,0,0,0,NA,NA,0
"1447","United Kingdom, England","Sentinel","2022-07",2022-02-14,36,0,36,0,0,0,0,NA,NA,0
"1448","United Kingdom, England","Sentinel","2022-08",2022-02-21,70,1,69,0,0,1,0,NA,NA,0
"1449","United Kingdom, England","Sentinel","2022-09",2022-02-28,55,0,55,0,0,0,0,NA,NA,0
"1450","United Kingdom, England","Sentinel","2022-10",2022-03-07,62,4,58,0,0,4,0,NA,NA,0
"1451","United Kingdom, England","Sentinel","2022-11",2022-03-14,87,4,83,0,0,4,0,NA,NA,0
"1452","United Kingdom, England","Sentinel","2022-12",2022-03-21,107,8,99,0,1,7,0,NA,NA,0
"1453","United Kingdom, England","Sentinel","2022-13",2022-03-28,103,5,98,0,1,3,0,NA,NA,1
"1454","United Kingdom, England","Sentinel","2022-14",2022-04-04,99,5,94,0,0,5,0,NA,NA,0
"1455","United Kingdom, England","Sentinel","2022-15",2022-04-11,57,4,53,0,0,4,0,NA,NA,0
"1456","United Kingdom, England","Sentinel","2022-16",2022-04-18,53,5,48,0,0,5,0,NA,NA,0
"1457","United Kingdom, England","Sentinel","2022-17",2022-04-25,35,2,33,0,0,2,0,NA,NA,0
"1458","United Kingdom, England","Sentinel","2022-18",2022-05-02,25,4,21,0,0,4,0,NA,NA,0
"1459","United Kingdom, England","Sentinel","2022-19",2022-05-09,46,2,44,0,0,2,0,NA,NA,0
"1460","United Kingdom, England","Sentinel","2022-20",2022-05-16,45,3,42,0,1,2,0,NA,NA,0
"1461","United Kingdom, England","Sentinel","2022-38",2022-09-19,1,1,0,0,1,0,0,0,0,NA
